2025-06-24 20:46:35.246718, 1, BB:0:1:0
2025-06-24 20:46:35.287540, 2, 02:3218:0:1
2025-06-24 20:46:35.302318, 3, 01:790:0:1
2025-06-24 20:46:35.360656, 4, 03:1352:0:1
2025-06-24 20:46:35.812988, 5, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:36.816105, 6, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:37.819426, 7, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:39.817007, 8, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:40.818701, 9, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:41.827524, 10, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:43.819731, 11, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:44.819830, 12, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:45.834285, 13, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:47.822894, 14, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:48.822327, 15, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:48.927271, 16, 03:1352:0:1:790:0:1
2025-06-24 20:46:48.960518, 17, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:48.998228, 18, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:49.032594, 19, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:49.073227, 20, 01:500:0:0:Node 01: NetworBB:1743:1:0
2025-06-24 20:46:49.151575, 21, k 1
2025-06-24 20:46:49.185633, 22, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:49.219995, 23, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:49.253356, 24, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:49.287703, 25, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:49.322074, 26, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:49.355406, 27, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:49.389783, 28, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:49.842067, 29, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:51.245295, 30, BB:0:1:0
2025-06-24 20:46:51.296611, 31, 02:3996:0:1
2025-06-24 20:46:51.310135, 32, 03:3974:0:1
2025-06-24 20:46:51.377216, 33, 01:3993:0:1
2025-06-24 20:46:51.811659, 34, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:52.814484, 35, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:53.816662, 36, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:55.814464, 37, 01:500:0:0:Node 01: Network 1
2025-06-24 20:46:56.815630, 38, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:46:57.824538, 39, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:46:59.817945, 40, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:00.818094, 41, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:01.832916, 42, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:03.821438, 43, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:03.917223, 44, BB:1743:1:0
2025-06-24 20:47:03.940824, 45, BB:0:1:0:02:3996:0:1
2025-06-24 20:47:03.967870, 46, 03:3974:0:1:01:3993:0:1
2025-06-24 20:47:03.991874, 47, 03:2500:0:003:656:0:1
2025-06-24 20:47:04.010370, 48, 01:668:0:1
2025-06-24 20:47:04.022870, 49, BB:725:1:0
2025-06-24 20:47:04.074862, 50, :Node 03: Network 1
2025-06-24 20:47:04.108196, 51, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:04.141581, 52, 02:1500:0:0:Node 0201:1778:0:1
2025-06-24 20:47:04.155101, 53, 03:1777:0:1
2025-06-24 20:47:04.167573, 54, 02:672:0:1
2025-06-24 20:47:04.200898, 55, 02:1766:0:0:Node 02: Network 1
2025-06-24 20:47:04.214449, 56, 02:1801:0:1
2025-06-24 20:47:04.229008, 57, : Network 1
2025-06-24 20:47:04.263399, 58, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:04.362407, 59, 01:500:0:0:Node 01: Networ03:123:0:1
2025-06-24 20:47:04.408939, 60, 02:89:0:1
2025-06-24 20:47:04.458706, 61, 1:500:0:0:Node 01: Network 1
2025-06-24 20:47:04.493091, 62, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:04.588509, 63, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:04.621833, 64, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:04.654153, 65, 01:503:0:0:Node 01: Network 1
2025-06-24 20:47:04.894172, 66, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:05.897473, 67, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:08.506855, 68, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:08.548640, 69, BB:1291:1:0
2025-06-24 20:47:08.603845, 70, 02:1238:0:1
2025-06-24 20:47:08.639880, 71, 01:608:0:1
2025-06-24 20:47:08.672386, 72, 03:1230:0:1
2025-06-24 20:47:08.831951, 73, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:09.834231, 74, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:11.816521, 75, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:12.834550, 76, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:13.841429, 77, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:15.820378, 78, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:16.836363, 79, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:16.941009, 80, BB:725:1:0:1778:0:1
2025-06-24 20:47:16.968044, 81, BB:1291:1:0:02:1238:0:1
2025-06-24 20:47:16.989921, 82, 03:656:0:1:668:0:1
2025-06-24 20:47:17.020651, 83, 02:602:1679:0:1
2025-06-24 20:47:17.034190, 84, 01:1693:0:1
2025-06-24 20:47:17.066487, 85, 01:760:0:0:Node 01: Network 1
2025-06-24 20:47:17.078978, 86, 01:794:0:1
2025-06-24 20:47:17.092549, 87, BB:1752:1:0
2025-06-24 20:47:17.106075, 88, 03:1669:0:1
2025-06-24 20:47:17.118571, 89, 02:772:0:1
2025-06-24 20:47:17.126908, 90, 72:0:1
2025-06-24 20:47:17.150904, 91, 03:123:0:1:02:89:0:1
2025-06-24 20:47:17.173782, 92, 01:608:0:1:1230:0:1
2025-06-24 20:47:17.207116, 93, 01:503:0:0:Node 01: 03:771:0:1
2025-06-24 20:47:17.413891, 94, Network 1
2025-06-24 20:47:17.448189, 95, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:17.510668, 96, 03:2500:0:0:Node 03: Network02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:17.560381, 97,  1
2025-06-24 20:47:17.593410, 98, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:17.627740, 99, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:17.666737, 100, 03:k 1
2025-06-24 20:47:17.700052, 101, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:17.734429, 102, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:17.768778, 103, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:17.802113, 104, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:17.836482, 105, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:18.242236, 106, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:19.243833, 107, BB:0:1:0
2025-06-24 20:47:19.282679, 108, 03:3575:0:1
2025-06-24 20:47:19.299014, 109, 01:3544:0:1
2025-06-24 20:47:19.318921, 110, 02:3579:0:1
2025-06-24 20:47:19.810500, 111, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:20.813645, 112, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:21.815266, 113, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:23.813005, 114, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:24.814835, 115, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:25.823388, 116, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:27.816794, 117, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:28.817739, 118, 02:1500:0:0:Node 02: Network 1
2025-06-24 20:47:29.831670, 119, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:29.951282, 120, 01:794:1:1:0:0:Node 02: Network 1
2025-06-24 20:47:29.975217, 121, BB:0:1:0:03:3575:0:1
2025-06-24 20:47:30.016134, 122, 02:1679:0:1:16BB:2736:1:0
2025-06-24 20:47:30.070222, 123, 93:0:1
2025-06-24 20:47:30.094246, 124, 01:3544:0:1:3579:0:1
2025-06-24 20:47:30.127486, 125, 01:760:0:0:Node 01: Network 1
2025-06-24 20:47:30.198387, 126, 03:2500:0:0:Node 03: Network 1
2025-06-24 20:47:30.231667, 127, 01:500:0:0:Node 01: Network 1
2025-06-24 20:47:30.266048, 128, 02:1500:0:0:Node 02: Network 1
