row_number,Algorithm,Accuracy,Precision,Recall,F1-Score,KFold,ROC Curve
0,Random Forest (4 n_estimators),0.8884642857142857,0.8804972138876982,0.8559166666666667,0.8680329600676104,0.8880357142857143,0.8843958333333334
1,Naive Bayes (Gaussian),0.8553214285714286,0.85039231243939,0.8038333333333333,0.8264576104185409,0.8553214285714285,0.8488854166666668
2,KNN,0.8874285714285715,0.8657407407407407,0.8726666666666667,0.8691899070385126,0.8876071428571428,0.8855833333333333
3,Logistic Regression,0.8573571428571428,0.8556957526212902,0.8025,0.8282446030790401,0.8573571428571428,0.8505
4,Support Vector Machine,0.8573571428571428,0.8556957526212902,0.8025,0.8282446030790401,0.8573571428571428,0.8505
