Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-12-10,23,37,14,067838,0.0,BB,0,1,0,
2,2025-12-10,23,37,17,820496,3.752658,BB,0,1,0,
3,2025-12-10,23,37,20,079147,2.258651,BB,0,1,0,
4,2025-12-10,23,37,22,111588,2.032441,BB,0,1,0,
5,2025-12-10,23,37,24,130339,2.018751,BB,0,1,0,
6,2025-12-10,23,37,26,157923,2.027584,BB,0,1,0,
7,2025-12-10,23,37,26,212569,0.054646,01,9,0,1,
8,2025-12-10,23,37,26,226224,0.013655,02,1995,0,1,
9,2025-12-10,23,37,26,239578,0.013354,03,1985,0,1,
10,2025-12-10,23,37,26,973115,0.733537,02,750,0,0,Node 02: Network 3
11,2025-12-10,23,37,28,974488,2.001373,02,750,0,0,Node 02: Network 3
12,2025-12-10,23,37,30,976577,2.002089,02,750,0,0,Node 02: Network 3
13,2025-12-10,23,37,31,342512,0.365935,03,1250,0,0,Node 03: Network 3
14,2025-12-10,23,37,32,523647,1.181135,01,250,0,0,Node 01: Network 3
15,2025-12-10,23,37,32,978435,0.454788,02,750,0,0,Node 02: Network 3
16,2025-12-10,23,37,33,390990,0.412555,03,1250,0,0,Node 03: Network 3
17,2025-12-10,23,37,34,979594,1.588604,02,750,0,0,Node 02: Network 3
18,2025-12-10,23,37,35,395883,0.416289,03,1250,0,0,Node 03: Network 3
19,2025-12-10,23,37,36,525661,1.129778,01,250,0,0,Node 01: Network 3
20,2025-12-10,23,37,36,941339,0.415678,02,750,0,0,Node 02: Network 3
21,2025-12-10,23,37,37,399754,0.458415,03,1250,0,0,Node 03: Network 3
22,2025-12-10,23,37,38,529274,1.12952,01,250,0,0,Node 01: Network 3
23,2025-12-10,23,37,38,942368,0.413094,02,750,0,0,Node 02: Network 3
24,2025-12-10,23,37,39,403284,0.460916,03,1250,0,0,Node 03: Network 3
25,2025-12-10,23,37,40,488317,1.085033,01,250,0,0,Node 01: Network 3
26,2025-12-10,23,37,40,956258,0.467941,02,750,0,0,Node 02: Network 3
27,2025-12-10,23,37,41,295320,0.339062,03,1250,0,0,Node 03: Network 3
28,2025-12-10,23,37,42,491309,1.195989,01,250,0,0,Node 01: Network 3
29,2025-12-10,23,37,43,034091,0.542782,02,750,0,0,Node 02: Network 3
30,2025-12-10,23,37,44,580836,1.546745,01,250,0,0,Node 01: Network 3
31,2025-12-10,23,37,45,122992,0.542156,02,750,0,0,Node 02: Network 3
32,2025-12-10,23,37,46,669613,1.546621,01,250,0,0,Node 01: Network 3
33,2025-12-10,23,37,48,167852,1.498239,BB,0,1,0,
34,2025-12-10,23,37,48,225704,0.057852,03,1949,0,1,
35,2025-12-10,23,37,48,251854,0.02615,02,1988,0,1,
36,2025-12-10,23,37,50,168852,1.916998,BB,0,1,0,
37,2025-12-10,23,37,50,227009,0.058157,03,1945,0,1,
38,2025-12-10,23,37,50,240518,0.013509,01,1816,0,1,
39,2025-12-10,23,37,50,280344,0.039826,02,1987,0,1,
40,2025-12-10,23,37,50,984778,0.704434,02,750,0,0,Node 02: Network 3
41,2025-12-10,23,37,51,128761,0.143983,03,1250,0,0,Node 03: Network 3
42,2025-12-10,23,37,52,169395,1.040634,BB,0,1,0,
43,2025-12-10,23,37,52,222757,0.053362,03,1941,0,1,
44,2025-12-10,23,37,52,236350,0.013593,01,1980,0,1,
45,2025-12-10,23,37,56,171118,3.934768,BB,0,1,0,
46,2025-12-10,23,37,56,228936,0.057818,02,5,0,1,
47,2025-12-10,23,37,56,262538,0.033602,03,1934,0,1,
48,2025-12-10,23,37,56,324406,0.061868,01,1975,0,1,
