Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-09-12,10,44,07,036577,0.0,BB,0,1,0,
2,2025-09-12,10,44,07,078254,0.041677,01,1745,0,1,
3,2025-09-12,10,44,07,094388,0.016134,02,1190,0,1,
4,2025-09-12,10,44,07,118413,0.024025,03,1178,0,1,
5,2025-09-12,10,44,07,352860,0.234447,01,250,0,0,Node 01: Network 2
6,2025-09-12,10,44,07,854393,0.501533,02,750,0,0,Node 02: Network 1
7,2025-09-12,10,44,08,355338,0.500945,03,1250,0,0,Node 03: Network 1
8,2025-09-12,10,44,09,356429,1.001091,01,250,0,0,Node 01: Network 2
9,2025-09-12,10,44,09,856605,0.500176,02,750,0,0,Node 02: Network 1
10,2025-09-12,10,44,10,356487,0.499882,03,1250,0,0,Node 03: Network 1
11,2025-09-12,10,44,11,400511,1.044024,01,250,0,0,Node 01: Network 2
12,2025-09-12,10,44,11,858608,0.458097,02,750,0,0,Node 02: Network 1
13,2025-09-12,10,44,12,446669,0.588061,03,1250,0,0,Node 03: Network 1
14,2025-09-12,10,44,13,404857,0.958188,01,250,0,0,Node 01: Network 2
15,2025-09-12,10,44,13,859758,0.454901,02,750,0,0,Node 02: Network 1
16,2025-09-12,10,44,14,447985,0.588227,03,1250,0,0,Node 03: Network 1
17,2025-09-12,10,44,15,409530,0.961545,01,250,0,0,Node 01: Network 2
18,2025-09-12,10,44,15,861926,0.452396,02,750,0,0,Node 02: Network 1
19,2025-09-12,10,44,16,450265,0.588339,03,1250,0,0,Node 03: Network 1
20,2025-09-12,10,44,17,413414,0.963149,01,250,0,0,Node 01: Network 2
21,2025-09-12,10,44,17,863809,0.450395,02,750,0,0,Node 02: Network 1
22,2025-09-12,10,44,18,451741,0.587932,03,1250,0,0,Node 03: Network 1
23,2025-09-12,10,44,19,416780,0.965039,01,250,0,0,Node 01: Network 2
24,2025-09-12,10,44,20,017514,0.600734,02,750,0,0,Node 02: Network 1
25,2025-09-12,10,44,20,453212,0.435698,03,1250,0,0,Node 03: Network 1
26,2025-09-12,10,44,21,516503,1.063291,01,250,0,0,Node 01: Network 2
27,2025-09-12,10,44,21,997203,0.4807,02,750,0,0,Node 02: Network 1
28,2025-09-12,10,44,22,454691,0.457488,03,1250,0,0,Node 03: Network 1
29,2025-09-12,10,44,23,543586,1.088895,01,250,0,0,Node 01: Network 2
30,2025-09-12,10,44,23,999272,0.455686,02,750,0,0,Node 02: Network 1
31,2025-09-12,10,44,24,545559,0.546287,03,1250,0,0,Node 03: Network 1
32,2025-09-12,10,44,25,033886,0.488327,BB,0,1,0,
33,2025-09-12,10,44,27,033734,1.999848,BB,0,1,0,
34,2025-09-12,10,44,27,099290,0.065556,02,1854,0,1,
35,2025-09-12,10,44,27,112310,0.01302,03,1811,0,1,
36,2025-09-12,10,44,27,126072,0.013762,01,1805,0,1,
37,2025-09-12,10,44,27,849344,0.723272,02,750,0,0,Node 02: Network 1
38,2025-09-12,10,44,28,353148,0.503804,03,1250,0,0,Node 03: Network 1
39,2025-09-12,10,44,29,395484,1.042336,01,250,0,0,Node 01: Network 2
40,2025-09-12,10,44,29,852550,0.457066,02,751,0,0,Node 02: Network 1
41,2025-09-12,10,44,30,442282,0.589732,03,1250,0,0,Node 03: Network 1
42,2025-09-12,10,44,31,398178,0.955896,01,250,0,0,Node 01: Network 2
43,2025-09-12,10,44,31,854475,0.456297,02,750,0,0,Node 02: Network 1
44,2025-09-12,10,44,32,444894,0.590419,03,1250,0,0,Node 03: Network 1
45,2025-09-12,10,44,33,402202,0.957308,01,250,0,0,Node 01: Network 2
46,2025-09-12,10,44,33,856207,0.454005,02,750,0,0,Node 02: Network 1
47,2025-09-12,10,44,34,445875,0.589668,03,1250,0,0,Node 03: Network 1
48,2025-09-12,10,44,35,405083,0.959208,01,250,0,0,Node 01: Network 2
49,2025-09-12,10,44,35,990304,0.585221,02,750,0,0,Node 02: Network 1
50,2025-09-12,10,44,36,447362,0.457058,03,1250,0,0,Node 03: Network 1
51,2025-09-12,10,44,37,409583,0.962221,01,250,0,0,Node 01: Network 2
52,2025-09-12,10,44,37,992268,0.582685,02,750,0,0,Node 02: Network 1
53,2025-09-12,10,44,38,447976,0.455708,03,1250,0,0,Node 03: Network 1
54,2025-09-12,10,44,39,492006,1.04403,01,250,0,0,Node 01: Network 2
55,2025-09-12,10,44,39,993032,0.501026,02,750,0,0,Node 02: Network 1
56,2025-09-12,10,44,40,448935,0.455903,03,1250,0,0,Node 03: Network 1
57,2025-09-12,10,44,41,495956,1.047021,01,250,0,0,Node 01: Network 2
58,2025-09-12,10,44,41,993635,0.497679,02,750,0,0,Node 02: Network 1
59,2025-09-12,10,44,42,541069,0.547434,03,1250,0,0,Node 03: Network 1
60,2025-09-12,10,44,43,030797,0.489728,BB,0,1,0,
61,2025-09-12,10,44,45,030361,1.999564,BB,0,1,0,
62,2025-09-12,10,44,45,083334,0.052973,01,1850,0,1,
63,2025-09-12,10,44,45,099024,0.01569,03,1813,0,1,
64,2025-09-12,10,44,45,156249,0.057225,02,1857,0,1,
65,2025-09-12,10,44,45,345968,0.189719,01,250,0,0,Node 01: Network 2
66,2025-09-12,10,44,45,846935,0.500967,02,750,0,0,Node 02: Network 1
67,2025-09-12,10,44,46,391443,0.544508,03,1250,0,0,Node 03: Network 1
68,2025-09-12,10,44,47,392814,1.001371,01,250,0,0,Node 01: Network 2
69,2025-09-12,10,44,47,849163,0.456349,02,750,0,0,Node 02: Network 1
70,2025-09-12,10,44,48,392987,0.543824,03,1250,0,0,Node 03: Network 1
71,2025-09-12,10,44,49,397756,1.004769,01,251,0,0,Node 01: Network 2
72,2025-09-12,10,44,49,850726,0.45297,02,750,0,0,Node 02: Network 1
73,2025-09-12,10,44,50,396968,0.546242,03,1250,0,0,Node 03: Network 1
74,2025-09-12,10,44,51,397302,1.000334,01,250,0,0,Node 01: Network 2
75,2025-09-12,10,44,51,941696,0.544394,02,750,0,0,Node 02: Network 1
76,2025-09-12,10,44,52,400135,0.458439,03,1250,0,0,Node 03: Network 1
