Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-08-01,13,12,43,883023,0.0,BB,0,1,0,
2,2025-08-01,13,12,43,926887,0.043864,01,1228,0,1,
3,2025-08-01,13,12,43,952792,0.025905,03,467,0,1,
4,2025-08-01,13,12,43,975398,0.022606,02,1987,0,1,
5,2025-08-01,13,13,00,131131,16.155733,BB,0,1,0,
6,2025-08-01,13,13,00,170814,0.039683,01,1458,0,1,
7,2025-08-01,13,13,00,183248,0.012434,03,699,0,1,
8,2025-08-01,13,13,00,201530,0.018282,02,230,0,1,
9,2025-08-01,13,13,13,106564,12.905034,BB,0,1,0,
10,2025-08-01,13,13,13,151561,0.044997,01,420,0,1,
11,2025-08-01,13,13,13,188998,0.037437,02,1201,0,1,
12,2025-08-01,13,13,13,223956,0.034958,03,1661,0,1,
13,2025-08-01,13,13,13,423219,0.199263,01,250,0,0,Node 01: Network 3
14,2025-08-01,13,13,17,117643,3.694424,BB,0,1,0,
15,2025-08-01,13,13,17,174650,0.057007,02,1209,0,1,
16,2025-08-01,13,13,17,189484,0.014834,03,1667,0,1,
17,2025-08-01,13,13,17,273840,0.084356,01,426,0,1,
18,2025-08-01,13,13,17,432648,0.158808,01,250,0,0,Node 01: Network 3
19,2025-08-01,13,13,21,126466,3.693818,BB,0,1,0,
20,2025-08-01,13,13,21,178490,0.052024,03,1673,0,1,
21,2025-08-01,13,13,21,190722,0.012232,01,431,0,1,
22,2025-08-01,13,13,21,253204,0.062482,02,1216,0,1,
23,2025-08-01,13,13,21,942052,0.688848,02,750,0,0,Node 02: Network 3
24,2025-08-01,13,13,22,446043,0.503991,03,1250,0,0,Node 03: Network 3
25,2025-08-01,13,13,23,488053,1.04201,01,250,0,0,Node 01: Network 3
26,2025-08-01,13,13,25,489840,2.001787,01,250,0,0,Node 01: Network 3
27,2025-08-01,13,13,29,143198,3.653358,BB,0,1,0,
28,2025-08-01,13,13,29,184363,0.041165,02,1230,0,1,
29,2025-08-01,13,13,29,233414,0.049051,03,1682,0,1,
30,2025-08-01,13,13,29,246145,0.012731,01,439,0,1,
31,2025-08-01,13,13,29,458937,0.212792,01,250,0,0,Node 01: Network 3
32,2025-08-01,13,13,30,001148,0.542211,02,750,0,0,Node 02: Network 3
33,2025-08-01,13,13,30,547001,0.545853,03,1250,0,0,Node 03: Network 3
34,2025-08-01,13,13,31,461653,0.914652,01,250,0,0,Node 01: Network 3
35,2025-08-01,13,13,32,002829,0.541176,02,750,0,0,Node 02: Network 3
36,2025-08-01,13,13,32,507141,0.504312,03,1250,0,0,Node 03: Network 3
37,2025-08-01,13,13,33,463414,0.956273,01,250,0,0,Node 01: Network 3
38,2025-08-01,13,13,34,050767,0.587353,02,750,0,0,Node 02: Network 3
39,2025-08-01,13,13,36,051969,2.001202,02,750,0,0,Node 02: Network 3
40,2025-08-01,13,13,36,597834,0.545865,03,1250,0,0,Node 03: Network 3
41,2025-08-01,13,13,37,596562,0.998728,01,250,0,0,Node 01: Network 3
42,2025-08-01,13,13,38,140763,0.544201,02,750,0,0,Node 02: Network 3
43,2025-08-01,13,13,39,599571,1.458808,01,250,0,0,Node 01: Network 3
44,2025-08-01,13,13,43,173503,3.573932,BB,0,1,0,
45,2025-08-01,13,13,43,240880,0.067377,01,454,0,1,
46,2025-08-01,13,13,43,255193,0.014313,03,1697,0,1,
47,2025-08-01,13,13,43,268725,0.013532,02,1256,0,1,
