Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-12-10,16,06,24,790154,0.0,BB,0,1,0,
2,2025-12-10,16,06,24,837246,0.047092,02,633,0,1,
3,2025-12-10,16,06,24,837246,0.0,03,654,0,1,
4,2025-12-10,16,06,24,853822,0.016576,01,697,0,1,
5,2025-12-10,16,06,25,606606,0.752784,02,750,0,0,Node 02: Network 2
6,2025-12-10,16,06,27,143577,1.536971,01,250,0,0,Node 01: Network 2
7,2025-12-10,16,06,29,144306,2.000729,01,250,0,0,Node 01: Network 2
8,2025-12-10,16,06,29,688340,0.544034,02,750,0,0,Node 02: Network 2
9,2025-12-10,16,06,29,800608,0.112268,03,1250,0,0,Node 03: Network 2
10,2025-12-10,16,06,31,241070,1.440462,01,250,0,0,Node 01: Network 2
11,2025-12-10,16,06,31,353107,0.112037,02,750,0,0,Node 02: Network 2
12,2025-12-10,16,06,33,353697,2.00059,02,750,0,0,Node 02: Network 2
13,2025-12-10,16,06,34,890407,1.53671,01,250,0,0,Node 01: Network 2
14,2025-12-10,16,06,35,434501,0.544094,02,750,0,0,Node 02: Network 2
15,2025-12-10,16,06,36,891673,1.457172,01,250,0,0,Node 01: Network 2
16,2025-12-10,16,06,37,435655,0.543982,02,750,0,0,Node 02: Network 2
17,2025-12-10,16,06,37,515751,0.080096,03,1266,0,0,Node 03: Network 2
18,2025-12-10,16,06,38,540053,1.024302,01,250,0,0,Node 01: Network 2
19,2025-12-10,16,06,38,795730,0.255677,BB,0,1,0,
20,2025-12-10,16,06,38,844057,0.048327,03,647,0,1,
21,2025-12-10,16,06,39,676816,0.832759,03,1250,0,0,Node 03: Network 2
22,2025-12-10,16,06,40,796450,1.119634,BB,0,1,0,
23,2025-12-10,16,06,40,860934,0.064484,01,697,0,1,
24,2025-12-10,16,06,44,798694,3.93776,BB,0,1,0,
25,2025-12-10,16,06,44,862490,0.063796,02,397,0,1,
26,2025-12-10,16,06,44,894490,0.032,01,697,0,1,
27,2025-12-10,16,06,44,910216,0.015726,03,445,0,1,
28,2025-12-10,16,06,45,118429,0.208213,01,250,0,0,Node 01: Network 2
29,2025-12-10,16,06,45,662597,0.544168,02,750,0,0,Node 02: Network 2
30,2025-12-10,16,06,47,215914,1.553317,01,250,0,0,Node 01: Network 2
31,2025-12-10,16,06,47,760098,0.544184,02,750,0,0,Node 02: Network 2
32,2025-12-10,16,06,50,801188,3.04109,BB,0,1,0,
33,2025-12-10,16,06,50,849081,0.047893,02,604,0,1,
34,2025-12-10,16,06,50,881143,0.032062,03,640,0,1,
35,2025-12-10,16,06,50,913673,0.03253,01,697,0,1,
36,2025-12-10,16,06,51,121127,0.207454,01,250,0,0,Node 01: Network 2
37,2025-12-10,16,06,53,122372,2.001245,01,250,0,0,Node 01: Network 2
38,2025-12-10,16,06,53,730135,0.607763,03,1250,0,0,Node 03: Network 2
39,2025-12-10,16,06,54,802985,1.07285,BB,0,1,0,
40,2025-12-10,16,06,54,867043,0.064058,02,599,0,1,
41,2025-12-10,16,06,54,882576,0.015533,01,697,0,1,
42,2025-12-10,16,06,58,820897,3.938321,BB,0,1,0,
43,2025-12-10,16,06,58,853018,0.032121,02,595,0,1,
44,2025-12-10,16,06,58,868698,0.01568,01,698,0,1,
45,2025-12-10,16,06,58,884957,0.016259,03,402,0,1,
46,2025-12-10,16,06,59,684842,0.799885,03,1250,0,0,Node 03: Network 2
47,2025-12-10,16,07,00,741573,1.056731,01,250,0,0,Node 01: Network 2
48,2025-12-10,16,07,00,821606,0.080033,BB,0,1,0,
49,2025-12-10,16,07,00,869328,0.047722,01,697,0,1,
50,2025-12-10,16,07,00,917923,0.048595,03,634,0,1,
51,2025-12-10,16,07,01,685138,0.767215,03,1250,0,0,Node 03: Network 2
52,2025-12-10,16,07,02,821675,1.136537,BB,0,1,0,
53,2025-12-10,16,07,02,869848,0.048173,02,590,0,1,
54,2025-12-10,16,07,02,886371,0.016523,01,697,0,1,
55,2025-12-10,16,07,06,823769,3.937398,BB,0,1,0,
56,2025-12-10,16,07,06,856385,0.032616,03,444,0,1,
57,2025-12-10,16,07,06,904128,0.047743,02,585,0,1,
58,2025-12-10,16,07,06,920108,0.01598,01,697,0,1,
59,2025-12-10,16,07,07,704795,0.784687,03,1250,0,0,Node 03: Network 2
60,2025-12-10,16,07,08,745135,1.04034,01,250,0,0,Node 01: Network 2
61,2025-12-10,16,07,08,824766,0.079631,BB,0,1,0,
62,2025-12-10,16,07,08,889311,0.064545,02,583,0,1,
63,2025-12-10,16,07,08,953019,0.063708,01,698,0,1,
64,2025-12-10,16,07,09,641191,0.688172,02,750,0,0,Node 02: Network 2
65,2025-12-10,16,07,09,737249,0.096058,03,1250,0,0,Node 03: Network 2
66,2025-12-10,16,07,10,826058,1.088809,BB,0,1,0,
67,2025-12-10,16,07,10,890177,0.064119,03,628,0,1,
68,2025-12-10,16,07,11,705837,0.81566,03,1250,0,0,Node 03: Network 2
69,2025-12-10,16,07,12,826891,1.121054,BB,0,1,0,
70,2025-12-10,16,07,12,890944,0.064053,02,578,0,1,
71,2025-12-10,16,07,12,906120,0.015176,01,697,0,1,
72,2025-12-10,16,07,13,146028,0.239908,01,250,0,0,Node 01: Network 2
73,2025-12-10,16,07,13,739469,0.593441,03,1250,0,0,Node 03: Network 2
74,2025-12-10,16,07,14,827905,1.088436,BB,0,1,0,
75,2025-12-10,16,07,14,874581,0.046676,03,627,0,1,
76,2025-12-10,16,07,14,891614,0.017033,02,577,0,1,
77,2025-12-10,16,07,16,828328,1.936714,BB,0,1,0,
78,2025-12-10,16,07,16,876741,0.048413,02,575,0,1,
79,2025-12-10,16,07,16,876741,0.0,03,626,0,1,
80,2025-12-10,16,07,16,892371,0.01563,01,7,0,1,
81,2025-12-10,16,07,17,148638,0.256267,01,250,0,0,Node 01: Network 2
82,2025-12-10,16,07,17,644148,0.49551,02,750,0,0,Node 02: Network 2
83,2025-12-10,16,07,17,757092,0.112944,03,1250,0,0,Node 03: Network 2
84,2025-12-10,16,07,18,797480,1.040388,01,250,0,0,Node 01: Network 2
85,2025-12-10,16,07,18,829533,0.032053,BB,0,1,0,
86,2025-12-10,16,07,18,893157,0.063624,02,571,0,1,
87,2025-12-10,16,07,18,925736,0.032579,01,697,0,1,
88,2025-12-10,16,07,22,831027,3.905291,BB,0,1,0,
89,2025-12-10,16,07,22,894470,0.063443,03,400,0,1,
90,2025-12-10,16,07,22,895472,0.001002,02,567,0,1,
91,2025-12-10,16,07,22,910494,0.015022,01,698,0,1,
92,2025-12-10,16,07,23,150769,0.240275,01,250,0,0,Node 01: Network 2
93,2025-12-10,16,07,23,646947,0.496178,02,750,0,0,Node 02: Network 2
94,2025-12-10,16,07,23,726802,0.079855,03,1264,0,0,Node 03: Network 2
95,2025-12-10,16,07,24,832139,1.105337,BB,0,1,0,
96,2025-12-10,16,07,24,895541,0.063402,03,620,0,1,
97,2025-12-10,16,07,26,832848,1.937307,BB,0,1,0,
98,2025-12-10,16,07,26,880967,0.048119,02,3,0,1,
99,2025-12-10,16,07,26,896986,0.016019,03,619,0,1,
100,2025-12-10,16,07,26,929047,0.032061,01,7,0,1,
101,2025-12-10,16,07,27,712741,0.783694,03,1250,0,0,Node 03: Network 2
102,2025-12-10,16,07,28,753181,1.04044,01,250,0,0,Node 01: Network 2
103,2025-12-10,16,07,28,833112,0.079931,BB,0,1,0,
104,2025-12-10,16,07,30,834248,2.001136,BB,0,1,0,
105,2025-12-10,16,07,30,881947,0.047699,01,402,0,1,
106,2025-12-10,16,07,30,913507,0.03156,03,446,0,1,
107,2025-12-10,16,07,30,930072,0.016565,02,398,0,1,
108,2025-12-10,16,07,31,650548,0.720476,02,750,0,0,Node 02: Network 2
109,2025-12-10,16,07,34,835704,3.185156,BB,0,1,0,
110,2025-12-10,16,07,34,900458,0.064754,03,615,0,1,
111,2025-12-10,16,07,34,916491,0.016033,02,554,0,1,
112,2025-12-10,16,07,34,948107,0.031616,01,698,0,1,
113,2025-12-10,16,07,35,155943,0.207836,01,250,0,0,Node 01: Network 2
114,2025-12-10,16,07,35,652235,0.496292,02,750,0,0,Node 02: Network 2
115,2025-12-10,16,07,35,764760,0.112525,03,1250,0,0,Node 03: Network 2
116,2025-12-10,16,07,36,836967,1.072207,BB,0,1,0,
117,2025-12-10,16,07,38,837496,2.000529,BB,0,1,0,
118,2025-12-10,16,07,38,901880,0.064384,02,2,0,1,
119,2025-12-10,16,07,38,933099,0.031219,03,402,0,1,
120,2025-12-10,16,07,38,949643,0.016544,01,7,0,1,
121,2025-12-10,16,07,39,157920,0.208277,01,250,0,0,Node 01: Network 2
122,2025-12-10,16,07,39,701753,0.543833,02,750,0,0,Node 02: Network 2
123,2025-12-10,16,07,39,782651,0.080898,03,1250,0,0,Node 03: Network 2
