Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-12-08,17,11,33,493028,0.0,BB,0,1,0,
2,2025-12-08,17,11,33,532672,0.039644,02,1905,0,1,
3,2025-12-08,17,11,33,566574,0.033902,03,1948,0,1,
4,2025-12-08,17,11,33,580616,0.014042,01,1809,0,1,
5,2025-12-08,17,11,33,813460,0.232844,01,250,0,0,Node 01: Network 1
6,2025-12-08,17,11,34,309123,0.495663,02,750,0,0,Node 02: Network 1
7,2025-12-08,17,11,34,731171,0.422048,03,1250,0,0,Node 03: Network 1
8,2025-12-08,17,11,35,856502,1.125331,01,251,0,0,Node 01: Network 1
9,2025-12-08,17,11,36,312481,0.455979,02,750,0,0,Node 02: Network 1
10,2025-12-08,17,11,36,732857,0.420376,03,1250,0,0,Node 03: Network 1
11,2025-12-08,17,11,37,859639,1.126782,01,250,0,0,Node 01: Network 1
12,2025-12-08,17,11,38,404973,0.545334,02,750,0,0,Node 02: Network 1
13,2025-12-08,17,11,38,865990,0.461017,03,1250,0,0,Node 03: Network 1
14,2025-12-08,17,11,39,951404,1.085414,01,250,0,0,Node 01: Network 1
15,2025-12-08,17,11,40,405947,0.454543,02,750,0,0,Node 02: Network 1
16,2025-12-08,17,11,40,919046,0.513099,03,1250,0,0,Node 03: Network 1
17,2025-12-08,17,11,41,953591,1.034545,01,250,0,0,Node 01: Network 1
18,2025-12-08,17,11,42,408235,0.454644,02,750,0,0,Node 02: Network 1
19,2025-12-08,17,11,42,923472,0.515237,03,1250,0,0,Node 03: Network 1
20,2025-12-08,17,11,43,965009,1.041537,01,250,0,0,Node 01: Network 1
21,2025-12-08,17,11,44,408832,0.443823,02,750,0,0,Node 02: Network 1
22,2025-12-08,17,11,44,931426,0.522594,03,1250,0,0,Node 03: Network 1
23,2025-12-08,17,11,45,956240,1.024814,01,250,0,0,Node 01: Network 1
24,2025-12-08,17,11,46,412287,0.456047,02,750,0,0,Node 02: Network 1
25,2025-12-08,17,11,46,933370,0.521083,03,1250,0,0,Node 03: Network 1
26,2025-12-08,17,11,47,959104,1.025734,01,250,0,0,Node 01: Network 1
27,2025-12-08,17,11,48,413377,0.454273,02,750,0,0,Node 02: Network 1
28,2025-12-08,17,11,48,934218,0.520841,03,1250,0,0,Node 03: Network 1
29,2025-12-08,17,11,49,962544,1.028326,01,250,0,0,Node 01: Network 1
30,2025-12-08,17,11,50,477321,0.514777,02,750,0,0,Node 02: Network 1
31,2025-12-08,17,11,50,934685,0.457364,03,1250,0,0,Node 03: Network 1
32,2025-12-08,17,11,51,966404,1.031719,01,250,0,0,Node 01: Network 1
33,2025-12-08,17,11,52,478785,0.512381,02,750,0,0,Node 02: Network 1
34,2025-12-08,17,11,52,936335,0.45755,03,1250,0,0,Node 03: Network 1
35,2025-12-08,17,11,53,970290,1.033955,01,250,0,0,Node 01: Network 1
36,2025-12-08,17,11,54,481504,0.511214,02,750,0,0,Node 02: Network 1
37,2025-12-08,17,11,54,937272,0.455768,03,1250,0,0,Node 03: Network 1
38,2025-12-08,17,11,56,483295,1.546023,02,750,0,0,Node 02: Network 1
39,2025-12-08,17,11,56,944753,0.461458,03,1250,0,0,Node 03: Network 1
40,2025-12-08,17,11,58,030714,1.085961,01,250,0,0,Node 01: Network 1
41,2025-12-08,17,11,58,481317,0.450603,02,750,0,0,Node 02: Network 1
42,2025-12-08,17,11,58,941453,0.460136,03,1250,0,0,Node 03: Network 1
