Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-15,22,25,09,731840,0.0,BB,0,1,0,
2,2025-07-15,22,25,09,780607,0.048767,02,364,0,1,
3,2025-07-15,22,25,09,793365,0.012758,03,966,0,1,
4,2025-07-15,22,25,09,878485,0.08512,01,1547,0,1,
5,2025-07-15,22,25,10,047425,0.16894,01,250,0,0,Node 01: Network 3
6,2025-07-15,22,25,10,548473,0.501048,02,750,0,0,Node 02: Network 3
7,2025-07-15,22,25,11,051888,0.503415,03,1250,0,0,Node 03: Network 3
8,2025-07-15,22,25,12,048821,0.996933,01,250,0,0,Node 01: Network 3
9,2025-07-15,22,25,12,549015,0.500194,02,750,0,0,Node 02: Network 3
10,2025-07-15,22,25,13,053939,0.504924,03,1250,0,0,Node 03: Network 3
11,2025-07-15,22,25,14,051702,0.997763,01,250,0,0,Node 01: Network 3
12,2025-07-15,22,25,14,549278,0.497576,02,750,0,0,Node 02: Network 3
13,2025-07-15,22,25,15,055206,0.505928,03,1250,0,0,Node 03: Network 3
14,2025-07-15,22,25,16,053782,0.998576,01,250,0,0,Node 01: Network 3
15,2025-07-15,22,25,16,549149,0.495367,02,750,0,0,Node 02: Network 3
16,2025-07-15,22,25,17,057367,0.508218,03,1250,0,0,Node 03: Network 3
17,2025-07-15,22,25,18,056781,0.999414,01,250,0,0,Node 01: Network 3
18,2025-07-15,22,25,18,550102,0.493321,02,750,0,0,Node 02: Network 3
19,2025-07-15,22,25,19,059748,0.509646,03,1250,0,0,Node 03: Network 3
20,2025-07-15,22,25,20,058912,0.999164,01,250,0,0,Node 01: Network 3
21,2025-07-15,22,25,20,551530,0.492618,02,750,0,0,Node 02: Network 3
22,2025-07-15,22,25,21,062305,0.510775,03,1250,0,0,Node 03: Network 3
23,2025-07-15,22,25,22,061281,0.998976,01,250,0,0,Node 01: Network 3
24,2025-07-15,22,25,22,552101,0.49082,02,750,0,0,Node 02: Network 3
25,2025-07-15,22,25,23,064321,0.51222,03,1250,0,0,Node 03: Network 3
26,2025-07-15,22,25,24,062635,0.998314,01,250,0,0,Node 01: Network 3
27,2025-07-15,22,25,24,552556,0.489921,02,750,0,0,Node 02: Network 3
28,2025-07-15,22,25,25,065388,0.512832,03,1250,0,0,Node 03: Network 3
29,2025-07-15,22,25,26,064684,0.999296,01,250,0,0,Node 01: Network 3
30,2025-07-15,22,25,26,553414,0.48873,02,750,0,0,Node 02: Network 3
31,2025-07-15,22,25,27,067334,0.51392,03,1250,0,0,Node 03: Network 3
32,2025-07-15,22,25,28,066688,0.999354,01,250,0,0,Node 01: Network 3
33,2025-07-15,22,25,28,553280,0.486592,02,750,0,0,Node 02: Network 3
34,2025-07-15,22,25,29,070038,0.516758,03,1250,0,0,Node 03: Network 3
