Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-22,21,52,37,518119,0.0,BB,0,1,0,
2,2025-07-22,21,52,37,582218,0.064099,02,746,0,1,
3,2025-07-22,21,52,37,597253,0.015035,01,1851,0,1,
4,2025-07-22,21,52,37,725236,0.127983,03,827,0,1,
5,2025-07-22,21,52,37,838078,0.112842,01,250,0,0,Node 01: Network 1
6,2025-07-22,21,52,41,519065,3.680987,BB,0,1,0,
7,2025-07-22,21,52,41,582443,0.063378,02,742,0,1,
8,2025-07-22,21,52,41,598702,0.016259,01,1846,0,1,
9,2025-07-22,21,52,41,630842,0.03214,03,826,0,1,
10,2025-07-22,21,52,41,838536,0.207694,01,250,0,0,Node 01: Network 1
11,2025-07-22,21,52,42,830638,0.992102,03,1251,0,0,Node 03: Network 2
12,2025-07-22,21,52,43,839408,1.00877,01,250,0,0,Node 01: Network 1
13,2025-07-22,21,52,44,383133,0.543725,02,750,0,0,Node 02: Network 2
14,2025-07-22,21,52,44,880018,0.496885,03,1250,0,0,Node 03: Network 2
15,2025-07-22,21,52,45,840277,0.960259,01,250,0,0,Node 01: Network 1
16,2025-07-22,21,52,46,432128,0.591851,02,750,0,0,Node 02: Network 2
17,2025-07-22,21,52,46,976097,0.543969,03,1250,0,0,Node 03: Network 2
18,2025-07-22,21,52,47,840198,0.864101,01,250,0,0,Node 01: Network 1
19,2025-07-22,21,52,48,432962,0.592764,02,750,0,0,Node 02: Network 2
20,2025-07-22,21,52,48,896376,0.463414,03,1250,0,0,Node 03: Network 2
21,2025-07-22,21,52,49,857150,0.960774,01,250,0,0,Node 01: Network 1
22,2025-07-22,21,52,50,897814,1.040664,03,1250,0,0,Node 03: Network 2
23,2025-07-22,21,52,52,434294,1.53648,02,750,0,0,Node 02: Network 2
24,2025-07-22,21,52,52,898196,0.463902,03,1250,0,0,Node 03: Network 2
25,2025-07-22,21,52,53,986712,1.088516,01,250,0,0,Node 01: Network 1
26,2025-07-22,21,52,54,434930,0.448218,02,750,0,0,Node 02: Network 2
27,2025-07-22,21,52,54,995010,0.56008,03,1250,0,0,Node 03: Network 2
28,2025-07-22,21,52,56,034747,1.039737,01,250,0,0,Node 01: Network 1
29,2025-07-22,21,52,56,450882,0.416135,02,750,0,0,Node 02: Network 2
30,2025-07-22,21,52,57,074918,0.624036,03,1250,0,0,Node 03: Network 2
31,2025-07-22,21,52,57,523454,0.448536,BB,0,1,0,
32,2025-07-22,21,52,57,587029,0.063575,03,823,0,1,
33,2025-07-22,21,52,58,851494,1.264465,03,1250,0,0,Node 03: Network 2
34,2025-07-22,21,52,59,891796,1.040302,01,250,0,0,Node 01: Network 1
35,2025-07-22,21,53,00,388071,0.496275,02,750,0,0,Node 02: Network 2
36,2025-07-22,21,53,00,932870,0.544799,03,1250,0,0,Node 03: Network 2
37,2025-07-22,21,53,01,892982,0.960112,01,250,0,0,Node 01: Network 1
38,2025-07-22,21,53,02,948970,1.055988,03,1250,0,0,Node 03: Network 2
39,2025-07-22,21,53,04,485743,1.536773,02,750,0,0,Node 02: Network 2
40,2025-07-22,21,53,04,949715,0.463972,03,1250,0,0,Node 03: Network 2
41,2025-07-22,21,53,06,485403,1.535688,02,750,0,0,Node 02: Network 2
42,2025-07-22,21,53,06,949680,0.464277,03,1250,0,0,Node 03: Network 2
43,2025-07-22,21,53,08,486278,1.536598,02,750,0,0,Node 02: Network 2
44,2025-07-22,21,53,08,950764,0.464486,03,1250,0,0,Node 03: Network 2
45,2025-07-22,21,53,10,503327,1.552563,02,750,0,0,Node 02: Network 2
46,2025-07-22,21,53,13,528443,3.025116,BB,0,1,0,
47,2025-07-22,21,53,13,592453,0.06401,02,716,0,1,
48,2025-07-22,21,53,13,624669,0.032216,03,818,0,1,
49,2025-07-22,21,53,14,856008,1.231339,03,1250,0,0,Node 03: Network 2
50,2025-07-22,21,53,17,545575,2.689567,BB,0,1,0,
51,2025-07-22,21,53,17,593289,0.047714,03,817,0,1,
52,2025-07-22,21,53,17,657607,0.064318,02,712,0,1,
53,2025-07-22,21,53,18,361855,0.704248,02,750,0,0,Node 02: Network 2
54,2025-07-22,21,53,18,857510,0.495655,03,1250,0,0,Node 03: Network 2
55,2025-07-22,21,53,20,361719,1.504209,02,750,0,0,Node 02: Network 2
56,2025-07-22,21,53,20,858375,0.496656,03,1250,0,0,Node 03: Network 2
57,2025-07-22,21,53,23,547135,2.68876,BB,0,1,0,
58,2025-07-22,21,53,23,611386,0.064251,03,816,0,1,
59,2025-07-22,21,53,23,642515,0.031129,02,707,0,1,
