Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-21,07,43,06,976216,0.0,BB,0,1,0,
2,2025-07-21,07,43,07,008173,0.031957,02,1105,0,1,
3,2025-07-21,07,43,07,056523,0.04835,01,1163,0,1,
4,2025-07-21,07,43,07,072052,0.015529,03,1196,0,1,
5,2025-07-21,07,43,07,296024,0.223972,01,250,0,0,Node 01: Network 1
6,2025-07-21,07,43,08,337124,1.0411,03,1250,0,0,Node 03: Network 2
7,2025-07-21,07,43,10,977402,2.640278,BB,0,1,0,
8,2025-07-21,07,43,11,010107,0.032705,03,1195,0,1,
9,2025-07-21,07,43,11,042170,0.032063,02,1104,0,1,
10,2025-07-21,07,43,12,306447,1.264277,03,1250,0,0,Node 03: Network 2
11,2025-07-21,07,43,13,346552,1.040105,01,250,0,0,Node 01: Network 1
12,2025-07-21,07,43,13,890802,0.54425,02,750,0,0,Node 02: Network 2
13,2025-07-21,07,43,14,386977,0.496175,03,1250,0,0,Node 03: Network 2
14,2025-07-21,07,43,15,347673,0.960696,01,250,0,0,Node 01: Network 1
15,2025-07-21,07,43,15,892154,0.544481,02,750,0,0,Node 02: Network 2
16,2025-07-21,07,43,16,436146,0.543992,03,1250,0,0,Node 03: Network 2
17,2025-07-21,07,43,18,981083,2.544937,BB,0,1,0,
18,2025-07-21,07,43,19,028913,0.04783,01,1147,0,1,
19,2025-07-21,07,43,19,045436,0.016523,02,1095,0,1,
20,2025-07-21,07,43,19,109652,0.064216,03,1193,0,1,
21,2025-07-21,07,43,20,982072,1.87242,BB,0,1,0,
22,2025-07-21,07,43,21,029876,0.047804,02,1094,0,1,
23,2025-07-21,07,43,21,077538,0.047662,03,1192,0,1,
24,2025-07-21,07,43,22,982740,1.905202,BB,0,1,0,
25,2025-07-21,07,43,23,030706,0.047966,01,1141,0,1,
26,2025-07-21,07,43,23,062925,0.032219,03,1190,0,1,
27,2025-07-21,07,43,23,062925,0.0,02,1092,0,1,
28,2025-07-21,07,43,24,984130,1.921205,BB,0,1,0,
29,2025-07-21,07,43,25,047811,0.063681,03,1191,0,1,
30,2025-07-21,07,43,25,047811,0.0,02,1092,0,1,
31,2025-07-21,07,43,25,096029,0.048218,01,1140,0,1,
32,2025-07-21,07,43,25,800331,0.704302,02,750,0,0,Node 02: Network 2
33,2025-07-21,07,43,26,311922,0.511591,03,1250,0,0,Node 03: Network 2
34,2025-07-21,07,43,27,352845,1.040923,01,250,0,0,Node 01: Network 1
35,2025-07-21,07,43,27,800818,0.447973,02,750,0,0,Node 02: Network 2
36,2025-07-21,07,43,28,312936,0.512118,03,1250,0,0,Node 03: Network 2
37,2025-07-21,07,43,29,353519,1.040583,01,250,0,0,Node 01: Network 1
38,2025-07-21,07,43,29,897532,0.544013,02,750,0,0,Node 02: Network 2
39,2025-07-21,07,43,30,442205,0.544673,03,1250,0,0,Node 03: Network 2
40,2025-07-21,07,43,31,898907,1.456702,02,750,0,0,Node 02: Network 2
