Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-12-13,01,23,45,261115,0.0,BB,0,1,0,
2,2025-12-13,01,23,45,325957,0.064842,03,326,0,1,
3,2025-12-13,01,23,45,338996,0.013039,01,196,0,1,
4,2025-12-13,01,23,45,351562,0.012566,02,296,0,1,
5,2025-12-13,01,23,46,077724,0.726162,02,750,0,0,Node 02: Network 1
6,2025-12-13,01,23,46,559677,0.481953,03,1250,0,0,Node 03: Network 1
7,2025-12-13,01,23,48,102976,1.543299,02,750,0,0,Node 02: Network 1
8,2025-12-13,01,23,48,629445,0.526469,03,1250,0,0,Node 03: Network 1
9,2025-12-13,01,23,49,673274,1.043829,01,250,0,0,Node 01: Network 1
10,2025-12-13,01,23,50,174174,0.5009,02,750,0,0,Node 02: Network 1
11,2025-12-13,01,23,50,699827,0.525653,03,1250,0,0,Node 03: Network 1
12,2025-12-13,01,23,51,676940,0.977113,01,251,0,0,Node 01: Network 1
13,2025-12-13,01,23,52,175626,0.498686,02,750,0,0,Node 02: Network 1
14,2025-12-13,01,23,52,701703,0.526077,03,1250,0,0,Node 03: Network 1
15,2025-12-13,01,23,53,722421,1.020718,01,250,0,0,Node 01: Network 1
16,2025-12-13,01,23,54,245567,0.523146,02,750,0,0,Node 02: Network 1
17,2025-12-13,01,23,54,702659,0.457092,03,1250,0,0,Node 03: Network 1
18,2025-12-13,01,23,55,725576,1.022917,01,250,0,0,Node 01: Network 1
19,2025-12-13,01,23,56,270516,0.54494,02,751,0,0,Node 02: Network 1
20,2025-12-13,01,23,56,704094,0.433578,03,1250,0,0,Node 03: Network 1
21,2025-12-13,01,23,57,259584,0.55549,BB,0,1,0,
22,2025-12-13,01,23,59,258785,1.999201,BB,0,1,0,
23,2025-12-13,01,23,59,312960,0.054175,02,1809,0,1,
24,2025-12-13,01,23,59,326986,0.014026,03,1878,0,1,
25,2025-12-13,01,23,59,350010,0.023024,01,1851,0,1,
26,2025-12-13,01,24,03,258616,3.908606,BB,0,1,0,
27,2025-12-13,01,24,03,307743,0.049127,01,161,0,1,
28,2025-12-13,01,24,03,330787,0.023044,03,312,0,1,
29,2025-12-13,01,24,03,343805,0.013018,02,276,0,1,
30,2025-12-13,01,24,03,575546,0.231741,01,250,0,0,Node 01: Network 1
31,2025-12-13,01,24,07,258465,3.682919,BB,0,1,0,
32,2025-12-13,01,24,07,297077,0.038612,03,307,0,1,
33,2025-12-13,01,24,07,331658,0.034581,01,153,0,1,
34,2025-12-13,01,24,07,344928,0.01327,02,272,0,1,
