Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-21,12,14,31,386461,0.0,BB,0,1,0,
2,2025-07-21,12,14,31,425261,0.0388,03,744,0,1,
3,2025-07-21,12,14,31,438432,0.013171,01,1409,0,1,
4,2025-07-21,12,14,31,452980,0.014548,02,1859,0,1,
5,2025-07-21,12,14,31,702746,0.249766,01,250,0,0,Node 01: Network 3
6,2025-07-21,12,14,32,202539,0.499793,02,750,0,0,Node 02: Network 3
7,2025-07-21,12,14,32,704826,0.502287,03,1250,0,0,Node 03: Network 3
8,2025-07-21,12,14,33,704729,0.999903,01,250,0,0,Node 01: Network 3
9,2025-07-21,12,14,34,752308,1.047579,03,1250,0,0,Node 03: Network 3
10,2025-07-21,12,14,37,401340,2.649032,BB,0,1,0,
11,2025-07-21,12,14,37,433814,0.032474,03,753,0,1,
12,2025-07-21,12,14,37,466192,0.032378,01,1417,0,1,
13,2025-07-21,12,14,37,492386,0.026194,02,1870,0,1,
14,2025-07-21,12,14,37,716569,0.224183,01,250,0,0,Node 01: Network 3
15,2025-07-21,12,14,39,719445,2.002876,01,250,0,0,Node 01: Network 3
16,2025-07-21,12,14,43,414240,3.694795,BB,0,1,0,
17,2025-07-21,12,14,43,462834,0.048594,01,1423,0,1,
18,2025-07-21,12,14,43,479172,0.016338,03,760,0,1,
19,2025-07-21,12,14,43,516234,0.037062,02,1881,0,1,
20,2025-07-21,12,14,44,228749,0.712515,02,750,0,0,Node 02: Network 3
21,2025-07-21,12,14,44,734116,0.505367,03,1250,0,0,Node 03: Network 3
22,2025-07-21,12,14,45,774763,1.040647,01,250,0,0,Node 01: Network 3
23,2025-07-21,12,14,46,735195,0.960432,03,1250,0,0,Node 03: Network 3
24,2025-07-21,12,14,46,796677,0.061482,BB,0,1,0,744:0:1
25,2025-07-21,12,14,46,839716,0.043039,03,139,0,1,
26,2025-07-21,12,14,46,852225,0.012509,01,802,0,1,
27,2025-07-21,12,14,46,876353,0.024128,BB,0,1,0,01:1423:0:1
28,2025-07-21,12,14,46,930216,0.053863,02,1263,0,1,
29,2025-07-21,12,14,46,957147,0.026931,03,219,0,1,
30,2025-07-21,12,14,46,974418,0.017271,01,882,0,1,
31,2025-07-21,12,14,46,994431,0.020013,BB,0,1,0,753:0:1
32,2025-07-21,12,14,47,123197,0.128766,01,1417,0,1,1870:0:1
33,2025-07-21,12,14,47,136288,0.013091,01,996,0,1,
34,2025-07-21,12,14,47,242212,0.105924,02,112,0,1,
35,2025-07-21,12,14,47,265326,0.023114,03,760,0,1,1881:0:1
36,2025-07-21,12,14,47,380311,0.114985,01,250,0,0,Node 01: Network 3
37,2025-07-21,12,14,47,487861,0.10755,BB,0,1,0,
38,2025-07-21,12,14,47,523468,0.035607,01,250,0,0,Node 01: Network 3
39,2025-07-21,12,14,47,556449,0.032981,02,750,0,0,Node 02: Network 3
40,2025-07-21,12,14,47,578531,0.022082,03,829,0,1,
41,2025-07-21,12,14,47,613220,0.034689,03,1250,0,0,Node 03: Network 3
42,2025-07-21,12,14,47,730240,0.11702,01,250,0,0,Node 01: Network 3
43,2025-07-21,12,14,47,841236,0.110996,03,1250,0,0,Node 03: Network 3
44,2025-07-21,12,14,47,895430,0.054194,02,781,0,0,Node 02: Network 3
45,2025-07-21,12,14,47,928014,0.032584,01,250,0,0,Node 01: Network 3
46,2025-07-21,12,14,48,032213,0.104199,01,250,0,0,Node 01: Network 3
47,2025-07-21,12,14,48,115044,0.082831,02,750,0,0,Node 02: Network 3
