Rel Start (s),Rel End (s),Interval Duration,Data Packets,Max Data Gap,Min Data Gap
-0.23793938916110938,-0.23559056309788237,0.4649678447583421,0.5132518216227281,-0.08444784809258639,0.3528928192116075
1.262978643496514,1.2649634103506477,0.3708572957257401,0.4078946525594013,-0.09383726586297922,-0.5488887102952903
1.2586299868145072,1.2558182301902547,-0.5712697154730854,-0.5754389253649816,-0.09446917303769249,0.45683706976819866
-1.4164133348870311,-1.4152004127923832,0.25958241248073344,0.30253748349607457,-0.1189701495627815,0.30102635219567936
-0.0684715894358069,-0.06978503955693689,-0.25697322750264884,-0.29448647452944365,0.17337086213060393,-0.11228529057542726
-1.2965132457816568,-1.2936864044389516,0.574803205605868,0.5834899343316126,-0.10238491798735187,0.4812323885683569
-0.9620109810483282,-0.9442559925476197,3.5021383577787084,3.5334906681047613,-0.09560357466314628,0.3906715179117552
-1.2346024062879815,-1.2418402121955499,-1.4031514438902244,-1.3831772215171534,-0.08525638614731632,0.4700795719850315
-0.5567445301060686,-0.5448169460767791,2.35134586118591,2.3394427520537247,0.08827733259701327,-1.3839176975992524
1.0456167929634579,1.0406433905610777,-0.9926798369423341,-0.9968676016182887,-0.09561523346710774,0.5112862943086863
-1.0317240763745006,-1.0336723565586332,-0.3671718571649213,-0.32960553088388594,-0.0876785026703177,0.4476095815213637
1.2348085019499306,1.2404824483856667,1.095955715580077,1.1453948360026887,-0.09449365652601156,0.03044728207727743
-0.11212120374326605,-0.1182466265033127,-1.2015432462406819,-1.1724628833905,-0.14613108221168633,0.6909288199487333
0.7442332410073396,0.7435016712030884,-0.15490902531617756,-0.15401024911167469,0.1223029690184484,0.2426325525267735
-1.446668104549938,-1.4491831895399743,-0.47226335160067245,-0.4349626999472127,-0.09450356650937893,0.6008140619554644
-1.4044326352428547,-1.4042587201239014,0.05530742869796636,0.05670408901497882,0.1387308067403978,0.462026064431178
-0.454408356932259,-0.4536565532968311,0.15452005669721997,0.1269422017238633,-0.08600021784005996,-1.4593107377025323
-1.5409711171342233,-1.5339149206826919,1.4092659722440122,1.3912282304837844,-0.08468160711201449,0.45531089486732296
-0.010710473580763932,-0.014685607532038299,-0.7806837358333031,-0.8212723198460774,-0.10370411165559537,-0.2906833966809132
