Interval Duration,Data Packets,Max Data Gap,Min Data Gap
-0.2586993445315599,-0.2760715148829966,0.20978066421880667,-0.5123941653816476
1.0178423531634038,1.0109470958893405,0.2611458132611579,0.9082132735154009
0.9552389402857974,0.9673193463716342,0.2669748989144484,0.8100344161245572
0.8058154781800837,0.8364360978185151,0.5055843653252221,0.27821191430274006
-0.2898907086169084,-0.3196992644007029,-1.3852202737130854,-0.7944530815982164
-0.2920315148917475,-0.2760715148829966,-0.6148187204299652,-0.5105976835903978
-0.22988180162512845,-0.21062989060643705,0.9379777221452318,-0.42688839711234156
-0.2618923814280968,-0.2760715148829966,0.1714915721824856,-0.674111351565111
-0.2551876914668345,-0.2760715148829966,0.2465360302207563,-0.1929774478993366
-0.290996585279689,-0.2760715148829966,-0.6107473187918957,-0.3957393571837226
-0.2582694660868294,-0.2760715148829966,0.197232839140022,-0.43337151654729184
-0.25748162458818225,-0.2760715148829966,0.2271119228609831,-0.41277586755973966
-0.22743080374089905,-0.1888160158475839,0.9371622061873786,-0.5124542986633632
-0.2908164094666176,-0.2760715148829966,-0.5197601415927174,-0.5536831799395395
-0.26085399806971105,-0.2542576401241434,0.17360913350486545,-0.6760318582498991
2.612385807258695,2.6251738280444754,0.7070399749819133,-0.03481940032740839
-0.25868672383236413,-0.29788538964184974,0.22798613125519693,3.1309686238561025
-0.2561160391127945,-0.29788538964184974,0.22801702201117605,3.1310437904582464
-0.2898691791888685,-0.2760715148829966,-0.612803098602317,-0.26017639021638617
-0.2283944635222048,-0.21062989060643705,0.8688472993391949,-0.26410760350853574
-0.29175547340959285,-0.2760715148829966,-0.6132263019592331,-0.48013641807139956
-0.2911646245636106,-0.2760715148829966,-0.6147584834558055,-0.41078771093302163
-0.2298064647659904,-0.1888160158475839,0.9376580028208461,-0.4217432431955608
-0.09705217038966261,-0.1670021410887307,1.7058524115892468,-0.6741188682253254
-0.22932826615068158,-0.21062989060643705,0.8891224470261972,-0.6158873015440969
-0.2919822586590805,-0.2760715148829966,-0.6122470649946898,-0.5086884518959313
-0.22829372387465982,-0.21062989060643705,0.8411336576123817,-0.49367392311759706
-0.2919483667558693,-0.29788538964184974,-1.2661904682359142,-0.5048173718854971
-0.2572188170872815,-0.2542576401241434,0.2221910254334835,-0.5517777065751802
0.026319069887630747,0.07295048125865418,0.48313450841727845,-0.6469235915694994
-0.2911580075729836,-0.2760715148829966,-0.6127783859975335,-0.41430926624348446
-0.29132520762882563,-0.2760715148829966,-0.6187989943378958,-0.43224401751512653
-0.2255354394013153,-0.1888160158475839,0.8930332167331744,-0.5513567736031719
0.873806832162192,0.9236915968539279,0.5174232475542823,-0.5537808965223272
-0.2165926572639962,-0.21062989060643705,0.9887266006057963,-0.6118395800186237
-0.28976885915536327,-0.2542576401241434,-0.5445360724259012,-0.6741301432156471
-0.2898324145433851,-0.2760715148829966,-0.5468513345865484,-0.42338187512230757
-0.29201779674044775,-0.2760715148829966,-0.6155415641198804,-0.5022241241115171
-0.2911562645608185,-0.2760715148829966,-0.6123814397831998,-0.41309156728874596
-0.2638752191559685,-0.2542576401241434,0.076344954690697,-0.42215290117724746
-0.22888111897431487,-0.21062989060643705,0.858644082639238,-0.5442121880693513
-0.2908222840631742,-0.29788538964184974,-1.212843677197492,-0.37500840831231075
-0.2918455613161286,-0.29788538964184974,-1.2592956515013385,-0.4880401862868781
-0.29401912976407185,-0.2760715148829966,-0.5312870271863869,-0.09811343766305887
0.35248619272161763,0.4001586026414517,0.5561602555523028,-0.6684137231225692
-0.2933956155789946,-0.2760715148829966,-0.6179695775398519,-0.6760093082692559
-0.19144221828501895,-0.23244376536529024,0.2337796925391115,0.9222168114948934
-0.29334216320593004,-0.2760715148829966,-0.6119705927286752,-0.6685114397053568
-0.29191040782427274,-0.2760715148829966,-0.6104136986273195,-0.5045129471468124
-0.2892684855519534,-0.2760715148829966,-0.6186738867761796,-0.19458977151533297
-0.19270128635031433,-0.23244376536529024,0.23229230263870895,0.9314886118693991
0.891263809112222,0.9018777220950747,0.2971211876746307,0.8889405567255894
0.24465684319490186,0.24746147932947957,0.29639679944691644,0.8606741559892063
-0.2911532949845371,-0.2760715148829966,-0.6130378683477595,-0.4071609223795567
0.6788839096094532,0.6401112249888367,1.7042383695893295,-0.014212476349534592
-0.2892495706421612,-0.2760715148829966,-0.5446241110804421,-0.3525786942324365
-0.29101111038106525,-0.2760715148829966,-0.6132139456568414,-0.3957994904654381
-0.2610525723445257,-0.23244376536529024,0.02846891653620561,-0.5115410244473093
-0.22944327267557832,-0.21062989060643705,0.9061880451669522,-0.6027143545182995
-0.29181851234956574,-0.2760715148829966,-0.6134131910329078,-0.4912422835382274
-0.2618738538543413,-0.2542576401241434,0.09780476286950465,-0.4936551314670611
-0.2919876490855912,-0.29788538964184974,-1.2678122329248265,-0.5087636184980755
-0.2639504269030944,-0.29788538964184974,0.22138941031582088,3.114916795968176
-0.19927673518733108,-0.1888160158475839,1.0043310659887312,-0.4303723691217322
-0.22985604377868793,-0.21062989060643705,0.9368208633338079,-0.4314247015517531
-0.23400063620538367,-0.2542576401241434,0.22137396493783149,-0.07486064928970398
-0.2915253312477871,-0.2760715148829966,-0.6133328750673617,-0.45554566417987524
-0.09657342304830184,-0.12337439157102437,0.22259260526121408,0.348718187114141
-0.2293223592761219,-0.21062989060643705,0.877329900931106,-0.5894248992591783
-0.28875316723312755,-0.2760715148829966,-0.6184607405599225,-0.13172042548179808
-0.19677922470069464,-0.1888160158475839,0.8652686052589952,-0.4936062731756673
-0.2913303398313119,-0.2760715148829966,-0.6201489203741903,-0.4311954434152128
0.8881284207291472,0.9018777220950747,0.17492044609618615,0.8960062173271585
-0.29183842787745273,-0.2760715148829966,-0.6187032329943599,-0.493516073253094
-0.291960922899059,-0.2760715148829966,-0.6140696195974675,-0.5049301217887137
-0.16014233555338847,-0.14518826632987752,0.9147015375148424,-0.6760243415896847
-0.2897931322136631,-0.2760715148829966,-0.6184885422403039,-0.2507279483268413
-0.26035362446630117,-0.29788538964184974,0.24571896972510426,3.1741180118170673
-0.2892082870762496,-0.2760715148829966,-0.6115257658425736,-0.1844610718763817
0.6145411965370497,0.6401112249888367,0.5547809832978278,0.1305358493998415
