Interval Duration,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
-0.6315779423560015,-0.6903220062605923,-0.9097948973689859,-0.412812916359424,3.3844850722277635
-0.5640758779860973,-0.6041824281701477,-0.45271880191149716,0.7331457619786955,-0.726870867630862
-0.5634142804949744,-0.64725221721537,-0.6812568496402415,1.7605954699766708,-0.7105313454933503
-0.565699003557723,-0.5180428500797032,0.2328953412747359,0.7358302480803329,-0.45914094479915524
-0.5682380442645042,-0.5180428500797032,0.46143338900348024,0.6378034992694578,-0.6480637342067205
-0.5653820505288176,-0.5180428500797032,0.2328953412747359,0.6035751697340825,-0.6466334389582055
1.6297260197103693,1.7646559693170765,-0.9097948973689859,-0.2907276491891058,0.8452072006233532
-0.5653926595844371,-0.5180428500797032,0.004357293545991548,0.6392951319347018,-0.6418899821788026
-0.6315835166055643,-0.6041824281701477,-0.45271880191149716,-1.2087041950406427,-0.6471244358345615
5.479358570228286,5.942425506703636,-0.6812568496402415,-0.3048630755843191,0.5444780181624781
-0.5682340883454596,-0.5180428500797032,0.6899714367322246,0.6388786517975166,-0.6351996160461971
1.267167118161388,1.3339580788648537,-0.45271880191149716,0.738962903025245,0.8286243148166912
-0.5087923888433944,-0.47497306103448095,0.46143338900348024,0.5365060232942787,-0.6415313409821599
-0.5681944692168465,-0.5180428500797032,0.004357293545991548,0.6350035757384925,-0.6397680217653341
-0.4456263114371894,-0.3888334829440364,-0.45271880191149716,0.17869978891436095,-0.8270982734782844
-0.5610403694392209,-0.5611126391249255,0.004357293545991548,1.7615438676803699,-0.7305042445158951
-0.5655741523551492,-0.5180428500797032,0.2328953412747359,0.5324566593517586,-0.639511849482018
-0.6835279703219701,-0.6041824281701477,-0.2241807541827528,-1.855710615115301,-0.7259187606445372
0.28254815838072156,-0.0012053815370361267,1.1470475321897133,0.7417039761020428,0.8821002789589262
-0.5659858076884552,-0.6041824281701477,-0.6812568496402415,0.7348954312506735,-0.9146579599157257
-0.5682122109143797,-0.5180428500797032,0.004357293545991548,0.6385527108205894,-0.6389311923065016
-0.6891526278835257,-0.7333917953058144,-0.45271880191149716,-2.7668989874265266,-1.055962591392884
