Rel Start (s),Rel End (s),Interval Duration,Max Data Gap,Min Data Gap
0.3937699421992493,0.39326140795207576,-0.31492141484529756,0.6915239891823088,0.5751173593996278
-0.2362662584014774,-0.2362019650696601,0.02498693705874657,0.6933304114647594,-0.7492465120535851
-1.5129204483242555,-1.5137233190688963,-0.6669291319758271,-1.42738603060848,-0.8884674841329754
-1.4052430933518374,-1.4057647937197206,-0.4669342176238348,0.005453858993268208,1.9173156108853897
-0.5240232309122321,-0.5244467029567905,-0.32998582859128645,-0.001264331089832151,-0.33002040166195834
1.815644389032795,1.8169030394139691,1.001314724741471,1.3192742491910026,-0.06839756710616289
-0.1271168939805097,-0.12807079592025894,-0.6595653554890804,-0.6825639702398728,0.5700410072518087
-1.4051701089770974,-1.4059577631655336,-0.6480012620300899,-0.5932002462108509,0.7450328036193755
-0.6925747986024506,-0.6931496199603615,-0.4464333763009309,0.005954499944744576,1.9182959646070583
0.7381294450439595,0.7371084331580225,-0.6364565380655179,-0.5188296899642647,0.8906650204484187
1.283186824357042,1.2819341166882943,-0.7508647306584759,-1.42738603060848,-0.8884674841329754
0.6199065756895701,0.6198514704366305,0.011773910118391757,0.5971908893527414,0.40143628252842933
0.7335527918924818,0.7325029744028789,-0.6564325503048742,-1.42738603060848,-0.8884674841329754
-0.22754752444485135,-0.22761211252565222,-0.062067823946822254,0.5961086819261253,0.5251730376066682
-0.8242815216027485,-0.8242776525525723,-0.06290862843497042,1.3163211533868138,0.5743787367326171
0.7871696806439265,0.7879775996869018,0.6126580714369311,1.319744714523486,0.33378381803146434
1.7686447528968492,1.77108573340261,1.8025589574893877,1.3198763899518196,0.33663624447642915
-1.076791514109771,-1.077771890816545,-0.7531040126436384,-1.42738603060848,-0.8884674841329754
1.6286587690605028,1.6300487059019888,1.0758320330859241,0.9820781663716469,-0.3440327451303031
1.3680174219650514,1.3713645972189368,2.3876795505286244,1.3169287806238115,-0.07012191529605688
-1.20312037169654,-1.2028464134340646,0.09085635565170104,0.11083260699335527,0.2695854217155019
1.5563252477211837,1.5583131532417782,1.477203327817912,1.3185020276685882,0.4510529244472969
1.3194447545694565,1.3183609167976889,-0.6330077574767113,-1.1517646699635908,-0.3487465006961349
-0.12653029742984753,-0.12721387534098857,-0.47547043802925143,-0.0004701636626954068,1.905715206162411
-0.2789942670794607,-0.27991200639796676,-0.6470208287517424,-0.6825694567160534,-0.6868825858524166
0.5124127362556898,0.511745369055699,-0.4136278531107056,1.3191041684294051,4.4897020008301975
-0.052740810690227236,-0.053714163662560405,-0.6668944353162601,-1.42738603060848,-0.8884674841329754
2.041051794588878,2.0448104366208013,2.7213403141155847,1.318257879478553,-0.1936464842263183
-1.0571194420822736,-1.0575932146731564,-0.4066218227643488,0.003085072902309779,0.4631045604723042
-1.4710303144401538,-1.4718379174412777,-0.6668201575159249,-0.7461206819345679,0.44558443081081034
1.1403744533185014,1.1426377567745807,1.631631759196013,0.6899576002327579,0.3431602970515891
1.1636059192347072,1.1643106587933736,0.5723413951719923,0.6932837764172245,0.5780987090737436
-0.768728717666132,-0.7693848881458485,-0.5078747600394349,0.020999789250895424,1.9477576083686596
-1.2345448905441032,-1.2353447218356617,-0.6427246748897238,-0.7418535750851345,-0.500298442463693
0.11661502779249792,0.11566124469910953,-0.6401040665100969,-0.74550756822139,-0.46129916564552836
1.1064221580150293,1.1058413775903662,-0.3074431056959024,0.6913127598493571,0.5694366796151639
-0.45187979617684193,-0.45179653978491635,0.020753270870025927,0.9439389272024583,-0.6727037165464185
-1.165027300943581,-1.165636658136316,-0.5075139821520924,0.005045116517816031,1.9165152125044105
0.8328115234775347,0.8317710550284512,-0.6421747496786253,-1.225763517448944,-0.4936508384605968
0.9820846425091845,0.9824759478238799,0.344508138150604,0.693794018702017,0.45207088077746793
-1.0453024311242414,-1.0431834320729212,1.3595887259619577,0.6795223225373256,0.24141569614601768
0.7094911954844318,0.7084290602894971,-0.6667322368543037,-1.42738603060848,-0.8884674841329754
-0.2483451849153323,-0.24903447514795976,-0.48904575873042494,-0.08816462731378073,-0.7188233158745664
