Interval Duration,Max Data Gap,Min Data Gap
-0.7228923489609654,-0.24906371305861946,0.7180917379627759
-0.7229144005122422,-0.24253991912099243,0.7360481055387709
-0.7229003649978485,-0.24741460256436415,0.7562160110331332
-0.7228306046173913,-0.2448029055481317,0.7273669940084648
0.3511908558906463,-0.0672147732482421,0.6276167314815206
-0.7229430377295082,-0.24095255946022223,0.7460825462430034
0.35117413843082707,-0.0660996258435361,0.626642994636866
-0.7229397299968165,-0.24406916035024698,0.722349773656348
0.3506982421147661,-0.06740729055263785,0.6216587823133826
-0.7229008417881465,-0.24763617908451774,0.7426167032366074
1.1866607802459705,-0.3562704247931038,-0.9607296063068834
-0.7228836177386357,-0.2402660354879441,0.7015547156179714
0.351162516667317,-0.06753442462157828,0.6235402399454262
1.1861754077227389,-0.298279127346433,-0.9562570184272005
0.41081777375197376,-0.06585262250959491,0.612317510210429
-0.7229141025183059,-0.2394705394565743,0.727416506051413
-0.665624827888648,0.051546609151939204,0.2736716404568934
1.1866281797093539,-0.2986750591611328,-0.9646575617141318
-0.7253263634315922,0.0498466450301079,0.24439351906000412
1.2458558750943962,-0.3031465459858659,-0.9610266785645739
1.1862396552153773,-0.2986750591611328,-0.960647086235302
0.4107959605958462,-0.06744724697430478,0.628293396068483
1.2463147559567025,-0.3557437265074933,-0.9581384760592441
4.526979168238107,2.953221907029886,-0.6964673290763352
-0.7252647680849862,0.03803407382455982,0.2592966439875073
-0.7229548680887738,-0.24110512034295026,0.7571072278062064
-0.18798906162292597,-0.33473391351459986,-1.7416005396622498
-0.18794025021618152,-0.29132307757440873,-1.7239247403296296
-0.7241099819835449,-0.1021294209812453,0.754037481143399
-0.18797624788367046,-0.3393797556338791,-1.7502981552068726
-0.7252822603290391,0.04728580164145144,0.2755200900603047
1.1862665938672066,-0.29928167029007713,-0.952444591120165
0.41080424482727196,-0.06647376324641772,0.6265439705509689
-0.7228536693480511,-0.24211856049250424,0.732153158160154
-0.7825392622154098,-0.24877675330301133,0.7307668209575959
-0.7825746638950266,-0.2482028337917943,0.7437224721957908
0.35118152868044406,-0.06918353511583358,0.6403743345479213
-0.7253010935458049,0.04655568884553615,0.25901607574413255
-0.7229159202813167,-0.2461686886887483,0.7236535907873256
-0.722901437776019,-0.23827547920853445,0.7237031028302746
-0.7228704762060508,-0.2448392295678284,0.7132395577538211
-0.18798220776239402,-0.33933253440827255,-1.7167950061450437
-0.7229525139366781,-0.23888572273944816,0.7248748878467226
0.4107699457252183,-0.06858055638885871,0.6320398073182547
0.3506837596094676,-0.06785044359294423,0.6159979054029349
-0.725288965192603,0.04760182061281739,0.26782921938896814
-0.1879613183874684,-0.3390601042605437,-1.740577290774647
-0.7252670626382943,0.04206240760898571,0.14634317000762515
-0.7229199134000613,-0.24147925774583268,0.7328793347900663
1.2463277186929254,-0.3566627242058341,-0.954094992551782
0.41077399844275014,-0.06644107162869045,0.6211141498409488
-0.7229168738619125,-0.24005898857566982,0.7394974445308511
-0.7229102285971358,-0.2418642923546234,0.7313774694872945
1.186245853489249,-0.30287048343616607,-0.7010719490705468
1.2458769432656835,-0.2990855205837119,-0.9677108043626235
0.35114377284873194,-0.06708037437536202,0.6285904683261745
0.3511604307097632,-0.06580903368595856,0.6118719018238923
1.186221477585271,-0.2984571150429495,-0.9536328801509287
-0.18799680946526628,-0.34011350083176384,-1.7450663826686459
-0.7253412035296135,0.05091093880723708,0.2612276136625
-0.7228927065536893,-0.2454240462849545,0.7464126265293272
0.41079420243162307,-0.06758164584718405,0.6270555949947703
-0.7252668540425391,0.050703891894962806,-0.004553032885135681
1.1862535417328024,-0.3014974354916098,-0.9505136214451723
-0.7229152348952634,-0.24315742745584581,0.7371373704836384
-0.7228736349417744,-0.2445813290279781,0.7066049439987196
0.4107771273790805,-0.06888204575234615,0.6177803389490815
-3.562889496910478,-4.254531527084993,-6.241486059023839
-0.7229001266026998,-0.24191877838416884,0.7293639797407213
-0.18681982281558057,-0.4790746705855903,-1.0965741481432958
-3.5623081405404062,-4.254531527084993,-6.241486059023839
0.35116928112966794,0.13266904234182372,0.35444228652023985
-0.18799639227375542,-0.3213230854423725,-1.7337941408907005
0.4102911588679762,-0.06591800574505025,0.6075808581016869
-0.7252674202310181,0.047612717818726474,0.26396728003898456
0.41028645056378477,-0.06475563711473765,0.6222694308430802
0.35121034469407164,-0.06564557559732064,0.6225004870435068
1.186168583661601,-0.29907462337780283,-0.9438129916328071
1.2463189874705956,-0.3565610169506821,-0.948879724027871
0.4108205748949735,-0.06511161250777134,0.614661080243325
0.410793457446782,-0.06686243025717865,0.6285904683261745
-0.1879566398826705,-0.336168712292642,-1.7292555369537537
