Interval Duration,Data Packets,Min Data Gap
4.865131941541353,4.86708146361532,4.2529915002245255
-0.23802312811530663,-0.23800178218407234,-0.17616430161793786
-0.23813847523656445,-0.23800178218407234,-0.25788973686179906
-0.2380656450094427,-0.23800178218407234,-0.19216294211058746
-0.23801499240787305,-0.23800178218407234,-0.18453131278467563
-0.23809001301776536,-0.23800178218407234,-0.25782436958705884
-0.2381231816711484,-0.23800178218407234,-0.23862273263214231
-0.23811062608419564,-0.23800178218407234,-0.2468426674307151
-0.23809728821768195,-0.23800178218407234,-0.23329529974082094
-0.23800384492412993,-0.23800178218407234,-0.1763277198047884
-0.23803885193448113,-0.23800178218407234,-0.1841227673175498
-0.23810100404559634,-0.23800178218407234,-0.25859243506525537
-0.23813706713335478,-0.23800178218407234,-0.24731658017258112
-0.23814356005371043,-0.23800178218407234,-0.25788973686179906
-0.23803411914313757,-0.23800178218407234,-0.1820963818006057
-0.2381067538003691,-0.23800178218407234,-0.23287041245501006
-0.23810037822194757,-0.23800178218407234,-0.2074262007624102
-0.23809611479834059,-0.23800178218407234,-0.21973159023224176
-0.23806756159436693,-0.23800178218407234,-0.22136577210074512
-0.23801780861429234,-0.23800178218407234,-0.18343641093277854
-0.23801303670897075,-0.23800178218407234,-0.18359982911962908
-0.2381200916668828,-0.23800178218407234,-0.2517288712175405
-0.2381480190472077,-0.23800178218407234,-0.2497024857005964
-0.23802876052814523,-0.23800178218407234,-0.18263566181721194
-0.2380586044933944,-0.23800178218407234,-0.20046458600258504
-0.23812482445822636,-0.23800178218407234,-0.23345871792767148
-0.23806681842878405,-0.23800178218407234,-0.19325784396248455
-0.23807753565876869,-0.23800178218407234,-0.23979934357746513
-0.23800153719942518,-0.23800178218407234,-0.1765728470850637
-0.23811332494868082,-0.23800178218407234,-0.249571751151116
-0.237068903506895,-0.23800178218407234,0.19244176064171625
-0.23802574875183571,-0.23800178218407234,-0.18395934913069975
-0.23806767893630107,-0.23800178218407234,-0.2477087838210219
-0.23807972604153924,-0.23800178218407234,-0.2338672633947973
-0.23806427602021107,-0.23800178218407234,-0.20698497165791427
-0.23810162986924505,-0.23800178218407234,-0.2352726598017104
-0.23809670150801124,-0.23800178218407234,-0.23082768511938043
-0.23813714536131086,-0.23800178218407234,-0.22543488495331887
