2026-03-10 18:16:08.336142, 0, BB:0:1:0
2026-03-10 18:16:08.383482, 1, 03:821:0:1
2026-03-10 18:16:08.396005, 2, 02:770:0:1
2026-03-10 18:16:08.449822, 3, 01:796:0:1
2026-03-10 18:16:08.652302, 4, 01:250:0:0:Node 01: Network 1
2026-03-10 18:16:09.070079, 5, 03:1250:0:0:Node 03: Network 1:TROJAN
2026-03-10 18:16:09.154263, 6, 02:750:0:0:Node 02: Network 1
2026-03-10 18:16:10.652421, 7, 01:250:0:0:Node 01: Network 1
2026-03-10 18:16:11.072018, 8, 03:1250:0:0:Node 03: Network 1:TROJAN
2026-03-10 18:16:11.156784, 9, 02:750:0:0:Node 02: Network 1
