Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,8.867074,8.867074,1,3,15,0,1.312292,0.192506
12.005713,19.944143,7.93843,1,3,14,4,1.344064,0.064667
22.009413,37.056717,15.047304,1,3,24,3,1.392921,0.080745
40.033772,70.976385,30.942613,1,3,46,5,1.553555,0.143851
74.0492,87.014919,12.965719,1,3,21,3,1.344426,0.192465
90.072078,106.94391,16.871832,1,3,27,3,1.297183,0.191976
108.0812,137.053835,28.972635,1,1,44,1,1.312416,0.207826
138.110631,142.960655,4.850024,1,1,6,2,1.552288,0.288155
146.114425,181.010015,34.89559,1,3,53,1,1.360786,0.191984
184.147023,225.125982,40.978959,1,3,63,1,1.34509,0.192287
228.183334,236.98802,8.804686,1,3,15,1,1.392461,0.143402
238.188246,239.004172,0.815926,1,1,3,1,0.544112,0.191706
242.190379,269.113884,26.923505,1,3,42,1,1.312689,0.064136
272.20361,321.217612,49.014002,1,3,75,3,1.34512,0.191921
324.259243,333.174569,8.915326,1,3,15,3,1.29657,0.095303
336.264559,338.025017,1.760458,1,3,4,3,0.944179,0.096018
340.266263,377.195058,36.928795,1,3,58,3,1.313047,0.096085
380.300608,382.061191,1.760583,1,3,2,1,1.056442,1.056442
386.303354,389.168596,2.865242,1,3,6,8,1.457174,0.143454
392.30575,415.228349,22.922599,1,3,37,3,1.265067,0.096257
418.333338,421.150088,2.81675,1,3,6,6,1.488564,0.095458
424.336177,426.096789,1.760612,1,3,3,2,0.944165,0.095961
428.338132,431.155184,2.817052,1,3,6,6,1.489328,0.095458
434.339503,437.157489,2.817986,1,3,6,8,1.504503,0.095381
440.343611,455.950297,15.606686,1,3,26,5,1.264002,0.080084
456.349853,465.314566,8.964713,1,1,15,1,1.344724,0.192164
468.372042,470.132766,1.760724,1,3,4,6,0.944563,0.096556
472.373398,487.323997,14.950599,1,3,23,1,1.296463,0.239383
488.380198,490.141385,1.761187,1,1,2,1,1.040361,1.040361
492.381951,509.350214,16.968263,1,3,28,5,1.216943,0.144123
512.407519,537.409692,25.002173,1,3,37,5,1.312834,0.239287
540.419797,561.388539,20.968742,1,3,34,5,1.296268,0.079586
564.445621,567.263664,2.818043,1,3,6,6,1.488212,0.09622
570.448713,589.417221,18.968508,1,3,30,3,1.313261,0.239919
590.457714,591.17882,0.721106,1,1,1,1,0.0,0.0
592.458768,621.159713,28.700945,1,1,45,3,1.345088,0.080163
624.489088,657.687943,33.198855,1,3,52,5,1.361045,0.127992
660.521242,663.579027,3.057785,1,3,7,6,1.504353,0.09675
666.523798,668.284288,1.76049,1,3,3,5,0.944006,0.0962
668.524385,679.409734,10.885349,1,1,18,3,1.265,0.19156
680.529353,681.250935,0.721582,1,1,1,1,0.0,0.0
682.53081,693.159593,10.628783,1,1,18,3,1.26396,0.063603
696.553467,700.31499,3.761523,1,3,8,6,1.457466,0.127089
704.572596,707.373619,2.801023,1,2,6,5,1.50445,0.095651
708.558631,723.508348,14.949717,1,1,24,3,1.296748,0.064692
726.566315,728.327254,1.760939,1,3,4,4,0.688417,0.095643
730.568075,733.289493,2.721418,1,3,5,4,1.505123,0.095698
736.570665,750.177092,13.606427,1,3,22,6,1.24863,0.079807
750.592694,767.272847,16.680153,1,1,27,4,1.537427,0.064112
770.602342,773.467478,2.865136,1,3,6,8,1.504071,0.096245
776.60447,778.365356,1.760886,1,3,4,6,0.944311,0.096033
778.605092,803.496224,24.891132,1,1,39,1,1.345236,0.191434
806.634198,823.505203,16.871005,1,3,27,4,1.265167,0.096062
826.642721,829.475597,2.832876,1,3,6,6,1.520665,0.096052
832.645258,835.478191,2.832933,1,3,6,8,1.504831,0.095929
838.663864,844.555325,5.891461,1,3,9,2,1.041403,0.23914
846.667532,851.501461,4.833929,1,3,9,3,1.26466,0.079612
854.671538,858.433184,3.761646,1,3,8,5,1.504469,0.095976
860.673704,863.539451,2.865747,1,3,6,8,1.456136,0.144072
866.676635,869.525029,2.848394,1,3,6,5,1.472082,0.080133
872.679653,874.440352,1.760699,1,3,4,3,0.688407,0.095757
876.681476,879.754264,3.072788,1,3,6,6,1.552679,0.095871
882.69918,885.596583,2.897403,1,3,5,6,1.536252,0.112222
888.702728,890.463396,1.760668,1,3,3,5,0.944921,0.096279
892.704074,896.513826,3.809752,1,3,7,8,1.488658,0.063964
898.707174,901.539868,2.832694,1,3,7,5,1.265023,0.064029
902.709041,909.543068,6.834027,1,1,11,3,1.041402,0.255567
912.712634,914.4737,1.761066,1,3,4,2,0.687912,0.09633
916.714949,920.476865,3.761916,1,3,7,8,1.504696,0.09575
922.717771,925.551076,2.833305,1,3,6,5,1.504928,0.095721
926.735588,929.600636,2.865048,1,1,4,4,1.53684,0.064436
932.737963,934.498513,1.76055,1,3,3,5,0.944262,0.095793
936.741024,940.501051,3.760027,1,3,7,7,1.503686,0.096625
940.741708,943.606569,2.864861,1,1,6,6,1.456463,0.095598
944.743371,950.601551,5.85818,1,1,10,3,1.312165,0.07985
952.746545,954.506948,1.760403,1,3,4,3,0.943758,0.09589
954.747872,957.85356,3.105688,1,1,7,6,1.457016,0.095532
960.749429,963.583499,2.83407,1,3,6,6,1.504803,0.095078
966.753497,968.51339,1.759893,1,3,4,5,0.944254,0.095787
970.75433,973.828109,3.073779,1,3,7,8,1.489152,0.096534
976.773613,979.590621,2.817008,1,3,6,8,1.489771,0.096117
980.775564,987.578427,6.802863,1,1,11,1,1.297234,0.19255
990.779886,992.540253,1.760367,1,3,2,0,1.040474,1.040474
992.78067,995.645627,2.864957,1,1,4,4,2.001643,0.095972
996.782388,1007.458563,10.676175,1,1,17,3,1.312378,0.063733
1010.788882,1013.637154,2.848272,1,3,6,6,1.473728,0.079501
1016.791607,1019.656519,2.864912,1,3,6,8,1.457622,0.128106
1022.809258,1024.570637,1.761379,1,3,3,5,0.944268,0.112043
1026.811195,1029.628554,2.817359,1,3,6,5,1.504846,0.095944
1032.814493,1035.647265,2.832772,1,3,7,4,1.248933,0.062998
1036.816394,1044.419575,7.603181,1,1,11,5,1.056673,0.064033
1044.819386,1047.940356,3.12097,1,1,7,6,1.45579,0.096198
1050.822105,1053.687093,2.864988,1,3,6,7,1.488772,0.06401
1054.824523,1056.584751,1.760228,1,1,2,1,1.040715,1.040715
1056.824599,1067.693508,10.868909,1,1,18,1,1.296859,0.207729
1070.84686,1073.904462,3.057602,1,3,7,7,1.489351,0.095686
1076.850114,1079.906952,3.056838,1,3,7,7,1.504751,0.079821
1080.852018,1081.571553,0.719535,1,1,1,1,0.0,0.0
1082.852069,1084.661008,1.808939,1,1,4,4,0.944942,0.095405
1084.853725,1087.95884,3.105115,1,1,7,6,1.457162,0.095769
1088.855464,1090.616353,1.760889,1,1,2,1,1.040433,1.040433
1092.856858,1094.618125,1.761267,1,3,3,2,0.94443,0.097067
1096.858704,1100.636455,3.777751,1,3,7,8,1.505003,0.096571
1102.861063,1113.73002,10.868957,1,3,17,1,1.29706,0.239514
1114.882819,1116.644007,1.761188,1,1,2,1,1.04077,1.04077
1118.884503,1120.645342,1.760839,1,3,4,6,0.944311,0.096383
1122.885851,1126.696499,3.810648,1,3,7,8,1.457262,0.095883
1128.88951,1132.651106,3.761596,1,3,7,9,1.537132,0.143918
1132.890804,1135.756422,2.865618,1,1,6,6,1.45683,0.096296
1138.893388,1157.781804,18.888416,1,3,31,3,1.312272,0.096041
1160.918843,1165.769686,4.850843,1,3,7,3,1.744953,0.239234
1168.922638,1172.028613,3.105975,1,3,7,8,1.505414,0.095568
1172.92427,1173.645218,0.720948,1,1,1,1,0.0,0.0
1174.925388,1177.774896,2.849508,1,2,5,4,1.505062,0.080363
1178.926933,1183.82497,4.898037,1,1,8,3,1.312349,0.079244
1186.931072,1189.795816,2.864744,1,3,6,6,1.456247,0.143716
1192.933693,1195.798321,2.864628,1,3,6,8,1.456756,0.143703
1198.935945,1202.745813,3.809868,1,3,7,9,1.472902,0.079932
1204.954398,1208.011713,3.057315,1,3,7,8,1.488118,0.096476
1210.957089,1213.822383,2.865294,1,3,6,8,1.45684,0.143447
1216.959475,1219.777541,2.818066,1,3,6,8,1.536639,0.095702
