Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,35.526371,35.526371,1,3,51,4,1.507731,0.453786
38.085318,55.635438,17.55012,1,3,27,3,1.088173,0.433263
58.127818,131.778257,73.650439,1,3,110,3,1.086478,0.44413
134.294867,157.814999,23.520132,1,3,34,1,1.045609,0.412751
158.347643,252.024361,93.676718,1,1,136,3,2.002397,0.441925
254.558308,256.8773,2.318992,1,3,4,2,0.999155,0.460044
256.9725,258.220915,1.248415,1,2,15,6,0.348899,0.032081
260.571948,278.081693,17.509745,1,3,26,2,1.510171,0.453186
278.61091,296.056268,17.445358,1,1,25,1,1.129126,0.413792
298.655324,370.34822,71.692896,1,3,107,3,1.543676,0.453652
372.818454,396.330077,23.511623,1,3,35,1,1.543926,0.449265
398.873401,436.442048,37.568647,1,3,57,1,1.084425,0.359707
438.962342,484.546511,45.584169,1,3,69,1,1.088238,0.351452
487.068363,498.616042,11.547679,1,3,17,4,1.414907,0.49748
503.10342,514.468268,11.364848,1,3,18,3,1.04391,0.448973
515.131455,516.524155,1.3927,1,4,17,9,0.350046,0.029958
521.143192,574.776057,53.632865,1,3,78,4,1.543216,0.451785
577.265206,636.792907,59.527701,1,3,89,4,1.495718,0.361197
637.396397,656.947654,19.551257,1,1,28,1,1.076324,0.456871
659.446626,729.072921,69.626295,1,3,105,0,1.04586,0.446922
731.603458,776.575715,44.972257,1,3,68,1,1.080347,0.39745
776.76916,777.761695,0.992535,1,4,14,10,0.184561,0.032403
781.713153,865.404726,83.691573,1,3,124,1,1.414069,0.356501
867.903246,955.526832,87.623586,1,3,132,1,1.077542,0.406035
958.099977,1007.683055,49.583078,1,3,74,1,1.089877,0.407798
1010.213935,1035.141244,24.927309,1,3,38,1,0.999554,0.451461
1035.333729,1036.306806,0.973077,1,3,14,3,0.189094,0.036417
1040.279357,1069.926343,29.646986,1,2,44,2,1.452603,0.449256
1072.350215,1103.893691,31.543476,1,3,48,0,1.084568,0.449934
1106.424417,1133.902184,27.477767,1,3,42,1,1.086248,0.445966
1136.489566,1212.179639,75.690073,1,3,114,1,1.086064,0.450746
1214.661423,1236.218302,21.556879,1,3,33,1,1.127728,0.413821
1238.715137,1280.285601,41.570464,1,3,61,3,1.546904,0.37474
1282.811203,1293.179083,10.36788,1,3,16,0,1.040708,0.457008
1293.415032,1294.606232,1.1912,1,4,16,6,0.217131,0.033341
1298.845138,1342.471797,43.626659,1,3,65,4,1.550249,0.449218
1344.94648,1430.637711,85.691231,1,3,127,2,1.4983,0.392453
1433.139829,1464.701375,31.561546,1,3,48,2,1.082374,0.43563
1467.215217,1512.79481,45.579593,1,3,68,4,1.541743,0.453022
1515.320733,1552.306781,36.986048,1,3,56,1,1.082353,0.447471
1552.444114,1553.400218,0.956104,1,4,15,8,0.158083,0.031969
1555.408451,1582.972949,27.564498,1,3,41,2,1.084297,0.432903
1585.47359,1624.964882,39.491292,1,3,58,3,1.46221,0.381083
1627.566872,1669.230642,41.66377,1,3,63,3,1.086136,0.454006
1671.662357,1721.23111,49.568753,1,3,74,2,1.088732,0.380677
1723.777193,1807.429309,83.652116,1,3,126,1,1.087892,0.441247
1810.47035,1811.828462,1.358112,1,4,14,6,0.267561,0.033434
1813.975457,1903.713178,89.737721,1,3,134,2,1.087082,0.448018
1906.175714,1951.753339,45.577625,1,3,67,1,1.045053,0.453861
1954.281763,1999.945576,45.663813,1,3,69,3,1.083668,0.443178
2002.386439,2023.940977,21.554538,1,3,33,3,1.084046,0.356943
2026.439902,2068.876517,42.436615,1,3,64,1,1.043527,0.457596
2069.072676,2070.37949,1.306814,1,4,15,11,0.486838,0.031922
2074.543828,2138.171526,63.627698,1,3,95,2,1.065556,0.430463
2140.689185,2188.278425,47.58924,1,3,72,0,1.074434,0.415406
2190.799365,2236.342055,45.54269,1,3,65,6,1.543518,0.369967
2238.904452,2312.506717,73.602265,1,3,109,2,1.505655,0.445097
2313.06648,2328.528372,15.461892,1,1,22,1,1.084566,0.453698
2329.103378,2330.075613,0.972235,1,3,15,9,0.135209,0.031805
2335.114995,2402.756403,67.641408,1,3,101,4,1.084958,0.413315
2405.267459,2416.813515,11.546056,1,3,18,3,1.088344,0.454754
2419.297668,2470.924324,51.626656,1,3,78,3,1.087313,0.443053
2473.417259,2545.107022,71.689763,1,3,107,4,1.547065,0.370113
2547.579645,2590.114636,42.534991,1,3,63,3,1.543555,0.453476
