Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,0.847916,0.847916,1,3,3,3,0.495719,0.032014
4.002055,4.898268,0.896213,1,3,3,3,0.511977,0.064572
8.019538,8.867663,0.848125,1,3,3,0,0.511695,0.032017
12.021974,12.869626,0.847652,1,3,2,3,0.032024,0.032024
14.022222,16.919708,2.897486,1,1,4,2,1.53692,0.079565
20.025244,20.953875,0.928631,1,3,3,1,0.560336,0.064063
24.027465,24.891914,0.864449,1,3,2,2,0.544782,0.544782
28.029414,28.878187,0.848773,1,3,3,1,0.496475,0.032021
32.031047,32.879455,0.848408,1,3,3,3,0.496264,0.031507
34.03238,34.928786,0.896406,1,1,2,1,0.079583,0.079583
36.033056,36.849356,0.8163,1,1,1,1,0.0,0.0
38.033999,38.930543,0.896544,1,1,3,1,0.54435,0.031532
42.036712,42.884449,0.847737,1,2,2,2,0.031363,0.031363
46.038276,46.96675,0.928474,1,3,4,2,0.496199,0.031507
50.040581,51.912234,1.871653,1,3,3,5,0.975991,0.06406
52.04081,54.93853,2.89772,1,1,4,2,2.001025,0.031548
58.044113,60.909394,2.865281,1,3,6,8,1.456742,0.03251
64.062732,64.911315,0.848583,1,3,2,1,0.032523,0.032523
66.063642,68.961547,2.897905,1,1,4,2,1.536593,0.07965
72.06709,73.924261,1.857171,1,3,4,3,0.929288,0.032015
76.068536,77.029277,0.960741,1,3,4,2,0.496331,0.032019
78.070076,78.886294,0.816218,1,1,1,1,0.0,0.0
80.070873,80.999041,0.928168,1,2,3,1,0.544304,0.063566
82.071781,83.929095,1.857314,1,1,2,1,1.041016,1.041016
88.074566,88.923496,0.84893,1,3,3,1,0.495748,0.03251
92.077101,94.973819,2.896718,1,3,6,8,1.424761,0.079816
98.080011,98.927455,0.847444,1,3,3,0,0.495723,0.031508
102.081408,102.930637,0.849229,1,3,3,1,0.496454,0.032513
106.08358,107.043847,0.960267,1,3,4,5,0.511499,0.048061
110.085918,110.933791,0.847873,1,3,3,1,0.496393,0.031507
114.10286,117.049362,2.946502,1,3,7,8,1.456874,0.03165
120.106463,121.050462,0.943999,1,3,4,4,0.512442,0.048517
124.108422,127.006383,2.897961,1,3,4,4,1.536232,0.080549
128.11075,129.967512,1.856762,1,1,2,1,1.04097,1.04097
132.112613,133.969654,1.857041,1,3,3,3,1.041118,0.496471
136.114513,138.963585,2.849072,1,3,6,6,1.472528,0.03151
142.117043,143.013527,0.896484,1,3,3,1,0.496752,0.079465
144.118353,146.023307,1.904954,1,1,3,1,1.008678,0.080108
148.120111,149.017144,0.897033,1,3,2,1,0.081044,0.081044
152.122011,154.971645,2.849634,1,3,6,6,1.47282,0.031507
158.125082,159.08508,0.959998,1,3,4,4,0.495991,0.048522
162.127348,165.024116,2.896768,1,3,6,6,1.408722,0.06406
168.145759,170.003079,1.85732,1,3,3,3,1.008468,0.032016
172.148365,174.997979,2.849614,1,3,6,6,1.456078,0.032507
178.151489,180.968395,2.816906,1,3,6,6,1.472707,0.032508
184.154023,186.043263,1.88924,1,3,4,1,1.024745,0.047511
188.156463,189.004074,0.847611,1,3,3,1,0.496214,0.032019
192.157661,193.10257,0.944909,1,3,4,3,0.496592,0.031525
196.160214,197.008695,0.848481,1,3,3,3,0.496544,0.032507
200.161641,201.010407,0.848766,1,3,3,1,0.496378,0.032519
202.163253,203.0597,0.896447,1,1,2,1,0.080207,0.080207
206.16471,207.060772,0.896062,1,3,3,2,0.496065,0.079564
208.166016,210.03841,1.872394,1,1,2,1,1.05594,1.05594
212.167902,213.064288,0.896386,1,3,3,1,0.495549,0.080555
216.169347,217.081907,0.91256,1,3,2,2,0.080084,0.080084
220.187191,221.0368,0.849609,1,3,3,0,0.512888,0.032516
224.189935,225.069766,0.879831,1,3,3,1,0.512243,0.064051
228.19152,229.040644,0.849124,1,3,3,1,0.512412,0.03251
232.19402,234.050712,1.856692,1,3,4,4,0.960993,0.079552
