Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,49.57879,49.57879,1,3,86,3,1.003645,0.03335
52.026042,96.856805,44.830763,1,3,68,3,1.002709,0.467322
97.012567,97.948864,0.936297,1,3,15,5,0.208208,0.032822
102.049428,146.880522,44.831094,1,3,68,3,1.032061,0.456912
147.058152,148.020897,0.962745,1,4,15,4,0.173017,0.031824
152.072919,194.903234,42.830315,1,3,65,1,1.002195,0.469362
195.244037,196.090944,0.846907,1,1,14,6,0.115281,0.033175
198.09511,243.456683,45.361573,1,3,69,2,1.002326,0.46955
243.606207,244.142553,0.536346,1,4,7,4,0.128977,0.031633
248.119249,290.95023,42.830981,1,3,65,1,1.003608,0.469404
291.107921,292.100993,0.993072,1,4,14,6,0.212828,0.013676
294.140728,338.97269,44.831962,1,3,68,1,1.002682,0.468659
339.139303,340.010563,0.87126,1,4,13,12,0.111904,0.033086
342.164251,386.528937,44.364686,1,3,67,0,1.003474,0.467904
386.655773,387.955654,1.299881,1,4,16,10,0.238132,0.031585
392.188846,436.551817,44.362971,1,3,67,3,1.002672,0.468909
436.69165,437.995215,1.303565,1,4,16,6,0.355904,0.033087
440.211134,484.575248,44.364114,1,3,67,1,1.013148,0.468161
484.7388,486.040155,1.301355,1,3,16,6,0.358085,0.027643
488.233144,532.595748,44.362604,1,2,67,1,1.003349,0.469951
532.735538,534.041462,1.305924,1,4,15,7,0.267829,0.034831
536.256798,580.620802,44.364004,1,3,67,3,1.00374,0.467877
580.763976,582.069625,1.305649,1,4,16,7,0.346044,0.032901
584.280169,628.643846,44.363677,1,3,67,1,1.00416,0.468672
628.780585,630.086396,1.305811,1,4,16,9,0.373302,0.031817
632.302609,676.666521,44.363912,1,3,67,1,1.010271,0.469718
676.822258,678.127979,1.305721,1,4,16,8,0.265795,0.031523
680.326864,724.689551,44.362687,1,3,67,1,1.003154,0.468454
724.830597,726.136437,1.30584,1,4,16,8,0.327095,0.033596
730.35066,774.714588,44.363928,1,3,67,1,1.029983,0.442279
774.837002,776.142982,1.30598,1,3,16,4,0.39475,0.031743
778.373502,821.736191,43.362689,1,3,66,3,1.001954,0.470403
821.893365,822.513336,0.619971,1,4,9,5,0.194521,0.025648
826.39699,869.227105,42.830115,1,3,65,1,1.003358,0.468516
869.47276,870.369219,0.896459,1,3,15,4,0.14988,0.033163
874.419629,919.249415,44.829786,1,3,68,1,1.004068,0.46519
919.427508,920.381866,0.954358,1,4,15,6,0.13192,0.03485
922.442669,967.27427,44.831601,1,3,68,3,1.003538,0.467997
967.426908,968.396163,0.969255,1,4,15,6,0.154629,0.032525
970.465782,1015.296604,44.830822,1,3,68,0,1.004137,0.465714
1015.486233,1016.353465,0.867232,1,3,15,5,0.157316,0.032795
1018.489249,1063.321237,44.831988,1,3,68,1,1.003305,0.468136
1063.488227,1064.490784,1.002557,1,3,15,4,0.157985,0.041151
1066.512699,1111.343672,44.830973,1,3,68,3,1.002782,0.468441
1111.50305,1112.372512,0.869462,1,4,15,5,0.149924,0.034279
1114.535782,1158.899202,44.36342,1,3,67,3,1.003328,0.46954
1159.02152,1160.326591,1.305071,1,4,16,8,0.257853,0.032685
1162.558969,1206.923058,44.364089,1,3,67,3,1.003531,0.469351
1207.073192,1208.379143,1.305951,1,4,16,7,0.333511,0.031844
1210.582448,1254.987817,44.405369,1,2,67,1,1.042989,0.470526
1255.084395,1256.390048,1.305653,1,4,15,5,0.291076,0.033288
1258.606276,1302.970245,44.363969,1,3,67,1,1.004247,0.469398
1303.165411,1304.472073,1.306662,1,5,15,5,0.34297,0.033665
1306.629044,1349.98997,43.360926,1,3,66,1,1.003916,0.469109
1350.160449,1350.820738,0.660289,1,4,11,7,0.158115,0.032629
1400.6755,1443.506032,42.830532,1,3,65,0,1.002126,0.469959
1443.690666,1444.64788,0.957214,1,4,15,8,0.185874,0.032129
1448.699383,1493.529739,44.830356,1,2,68,2,1.004348,0.46603
1493.682261,1494.721049,1.038788,1,4,13,5,0.250301,0.032793
1496.722683,1541.554685,44.832002,1,3,68,2,1.019858,0.460152
1541.705159,1542.6206,0.915441,1,4,15,8,0.203421,0.032594
1546.747462,1591.111016,44.363554,1,3,67,2,1.002424,0.469704
1591.240702,1592.550096,1.309394,1,4,16,9,0.270667,0.027739
1596.77129,1641.135587,44.364297,1,3,67,3,1.003445,0.469167
1641.266716,1642.566988,1.300272,1,4,16,8,0.325524,0.026334
1646.796287,1688.154395,41.358108,1,3,63,3,1.002784,0.47047
1688.298583,1689.120221,0.821638,1,5,12,7,0.158087,0.031972
1694.819408,1737.181733,42.362325,1,3,64,1,1.002714,0.470756
1737.378766,1738.740166,1.3614,1,7,16,14,0.194023,0.033588
1740.841855,1784.203003,43.361148,1,3,66,3,1.00381,0.467803
1784.344073,1785.029451,0.685378,1,4,11,7,0.133361,0.033532
1834.887146,1878.248637,43.361491,1,3,66,1,1.002091,0.469237
1878.495381,1878.954854,0.459473,1,4,6,6,0.196474,0.032565
1882.911032,1925.742569,42.831537,1,3,65,1,1.003059,0.469234
1925.949523,1927.015784,1.066261,1,4,15,4,0.155576,0.031269
1930.934439,1975.766986,44.832547,1,3,68,3,1.003749,0.467729
1975.955147,1976.927519,0.972372,1,3,14,5,0.325722,0.032094
1978.958492,2023.321588,44.363096,1,3,67,3,1.005038,0.467014
2023.447884,2024.944864,1.49698,1,3,16,7,0.451114,0.032244
2026.981495,2070.342822,43.361327,1,3,66,3,1.003238,0.469424
2070.492025,2071.147768,0.655743,1,4,10,5,0.09653,0.032523
2075.005024,2117.835115,42.830091,1,3,65,1,1.003271,0.468515
2117.997121,2118.988538,0.991417,1,4,15,5,0.173907,0.032371
2121.027611,2165.391362,44.363751,1,3,67,1,1.003111,0.468191
2165.545856,2166.850127,1.304271,1,3,16,5,0.363986,0.032072
2171.051559,2215.414887,44.363328,1,3,67,0,1.003377,0.468964
2215.561737,2216.869009,1.307272,1,4,16,4,0.342123,0.033114
2221.076158,2264.436951,43.360793,1,3,64,2,2.002741,0.459401
2264.583972,2265.272093,0.688121,1,4,9,3,0.125192,0.0468
2269.098003,2313.462624,44.364621,1,3,67,1,1.00214,0.469978
2313.687615,2314.933992,1.246377,1,2,16,6,0.411102,0.03186
2319.123174,2363.485641,44.362467,1,3,67,0,1.003322,0.468552
2363.634048,2364.940313,1.306265,1,4,16,7,0.284793,0.033805
2367.146477,2411.50927,44.362793,1,3,67,3,1.003616,0.467836
2411.655056,2412.960421,1.305365,1,4,16,10,0.318177,0.033298
2415.170132,2459.532176,44.362044,1,3,67,0,1.011756,0.469191
2459.690586,2460.996567,1.305981,1,4,16,8,0.330406,0.032287
2463.193065,2507.5553,44.362235,1,3,67,0,1.003009,0.469775
2507.68769,2509.005508,1.317818,1,5,15,10,0.211447,0.033078
2511.216462,2555.579814,44.363352,1,3,67,1,1.002809,0.468582
2555.716512,2557.021874,1.305362,1,4,16,3,0.308079,0.031704
2559.238918,2603.603423,44.364505,1,3,67,1,1.00334,0.468213
2603.808283,2605.056221,1.247938,1,3,16,6,0.185191,0.033419
2607.262389,2651.62609,44.363701,1,3,67,3,1.003668,0.468598
2651.754664,2653.061388,1.306724,1,4,15,2,0.352841,0.033245
2655.285445,2699.649707,44.364262,1,3,67,1,1.003396,0.468119
2699.78469,2701.093869,1.309179,1,4,16,3,0.355178,0.032597
2703.309041,2747.713517,44.404476,1,3,65,4,1.98212,0.458828
2747.879057,2749.188547,1.30949,1,3,15,8,0.340579,0.034181
2751.332119,2796.163332,44.831213,1,3,68,3,1.003471,0.467329
2796.334373,2797.257877,0.923504,1,4,14,6,0.13966,0.042421
2799.355826,2844.186357,44.830531,1,3,68,3,1.002754,0.467414
2844.362642,2845.403395,1.040753,1,4,15,5,0.182198,0.032074
2847.378949,2892.210184,44.831235,1,3,68,1,1.002776,0.467489
2892.384856,2893.388754,1.003898,1,4,15,7,0.147724,0.031624
2895.403013,2940.765313,45.3623,1,3,69,1,1.003245,0.46705
2940.918221,2941.620084,0.701863,1,4,11,7,0.217416,0.033153
2991.448824,3033.809903,42.361079,1,3,64,0,1.002086,0.473054
3033.947179,3035.257942,1.310763,1,4,16,8,0.310561,0.032512
3037.471353,3080.831915,43.360562,1,3,66,1,1.029883,0.448988
3080.973316,3081.619234,0.645918,1,4,10,8,0.114666,0.033094
3085.494072,3128.324419,42.830347,1,3,65,1,1.01193,0.469469
3128.51146,3129.593046,1.081586,1,4,16,11,0.204322,0.032007
3133.517339,3176.876933,43.359594,1,3,66,1,1.003172,0.469649
3177.00349,3177.62563,0.62214,1,4,9,8,0.245396,0.033284
3181.540446,3224.901876,43.36143,1,3,66,3,1.003118,0.469513
3225.103321,3225.626653,0.523332,1,4,6,3,0.155102,0.055575
3229.563891,3272.394296,42.830405,1,3,63,4,1.988539,0.396493
3272.626781,3273.531918,0.905137,1,3,15,6,0.192462,0.02255
3277.586477,3322.417639,44.831162,1,3,68,0,1.021836,0.466881
3322.572796,3323.630359,1.057563,1,4,15,5,0.270154,0.031999
3325.609735,3370.440422,44.830687,1,3,68,3,1.002809,0.46843
3370.606101,3371.57716,0.971059,1,4,15,7,0.153253,0.032425
3375.632838,3420.464336,44.831498,1,3,68,2,1.003082,0.467952
3420.614219,3421.567386,0.953167,1,4,15,7,0.147775,0.032669
3423.656472,3468.019556,44.363084,1,3,67,3,1.002943,0.468776
3468.16043,3469.464931,1.304501,1,4,16,10,0.26529,0.03238
3471.680573,3516.042993,44.36242,1,3,67,3,1.003406,0.471441
3516.243096,3517.495463,1.252367,1,4,16,9,0.235629,0.032201
3519.702913,3564.066291,44.363378,1,3,67,0,1.043396,0.436363
3564.221165,3565.527761,1.306596,1,4,15,7,0.378188,0.02714
3567.726818,3612.089358,44.36254,1,3,67,0,1.020555,0.46771
3612.260603,3613.565348,1.304745,1,3,15,6,0.377273,0.032905
3615.749616,3660.110959,44.361343,1,3,67,3,1.002834,0.46954
3660.252913,3661.55884,1.305927,1,4,16,5,0.341652,0.033107
3663.772899,3708.136239,44.36334,1,3,67,1,1.002939,0.468768
3708.267597,3709.572248,1.304651,1,4,16,5,0.291004,0.032903
3711.794991,3756.158959,44.363968,1,3,67,2,1.003944,0.469884
3756.28641,3757.595966,1.309556,1,4,16,10,0.360682,0.033986
3759.818849,3804.180125,44.361276,1,3,67,1,1.002495,0.47076
3804.345091,3805.650892,1.305801,1,5,15,9,0.295242,0.032154
