Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,2.84145,2.84145,1,3,6,7,1.472542,0.061488
6.000471,8.834017,2.833546,1,3,6,8,1.478291,0.054603
11.99904,14.84519,2.84615,1,3,6,7,1.476386,0.063516
17.998228,20.853844,2.855616,1,3,6,5,1.471376,0.070004
23.996319,26.850865,2.854546,1,3,6,8,1.48188,0.060759
29.993803,32.83028,2.836477,1,3,6,8,1.484834,0.056095
35.993743,38.813405,2.819662,1,3,6,8,1.47597,0.039649
41.993096,44.851904,2.858808,1,3,6,6,1.485398,0.058451
47.991194,50.83367,2.842476,1,3,6,7,1.470464,0.062463
53.99137,56.849059,2.857689,1,3,6,6,1.489054,0.053429
59.98832,62.826216,2.837896,1,3,6,8,1.472335,0.058359
65.98647,68.824222,2.837752,1,3,6,8,1.456456,0.057141
71.98531,74.841461,2.856151,1,3,6,8,1.477807,0.062641
77.985109,80.842997,2.857888,1,3,6,6,1.472972,0.06904
83.984926,86.826001,2.841075,1,3,6,6,1.4757,0.060362
89.981981,92.837424,2.855443,1,3,6,5,1.445895,0.074688
95.980793,98.8405,2.859707,1,3,6,8,1.483397,0.05649
101.981284,197.095505,95.114221,1,3,144,1,1.373375,0.205346
199.961921,295.07623,95.114309,1,3,144,0,1.372369,0.204785
297.942927,393.058367,95.11544,1,3,144,1,1.372457,0.203993
395.925709,491.039597,95.113888,1,3,144,1,1.372829,0.204809
493.907095,496.762765,2.85567,1,3,6,5,1.483854,0.057867
499.906751,502.757815,2.851064,1,3,6,6,1.495624,0.046992
505.905241,508.74683,2.841589,1,3,6,6,1.502773,0.037643
511.904289,514.770412,2.866123,1,3,6,7,1.476702,0.06511
517.903532,520.763766,2.860234,1,3,6,5,1.477313,0.064564
523.902789,526.7362,2.833411,1,3,6,8,1.473414,0.055402
529.901664,532.767415,2.865751,1,3,6,6,1.46479,0.076242
535.900421,538.745487,2.845066,1,3,6,5,1.484369,0.057587
541.89936,544.756635,2.857275,1,3,6,5,1.456997,0.077273
547.899271,550.717594,2.818323,1,3,6,6,1.455597,0.039219
553.897316,556.738494,2.841178,1,3,6,5,1.497467,0.04347
559.895422,562.725283,2.829861,1,3,6,7,1.46397,0.051297
565.894965,568.737952,2.842987,1,3,6,6,1.472113,0.063054
571.893707,574.743777,2.85007,1,3,6,7,1.460211,0.070595
577.892544,580.742002,2.849458,1,3,6,6,1.488023,0.053917
583.891469,586.729284,2.837815,1,3,6,6,1.470192,0.059633
589.890994,592.727111,2.836117,1,3,6,6,1.488176,0.051572
