Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,63.48996,63.48996,1,3,96,0,1.056967,0.351694
66.034806,103.597495,37.562689,1,3,57,1,1.073204,0.367827
106.061783,199.688048,93.626265,1,3,138,2,1.984133,0.447292
202.121074,271.611301,69.490227,1,3,105,1,1.040991,0.368205
274.157214,276.973639,2.816425,1,3,5,1,1.008514,0.495683
277.117762,278.061994,0.944232,1,2,14,6,0.192153,0.032
280.158935,395.726906,115.567971,1,3,171,6,1.552811,0.383988
396.223488,471.76463,75.541142,1,1,112,1,1.104633,0.432885
474.260852,489.785756,15.524904,1,3,23,1,1.056912,0.36733
492.266022,555.163938,62.897916,1,3,95,2,1.040909,0.447702
555.307607,556.300415,0.992808,1,4,14,7,0.192172,0.032014
560.301131,587.844815,27.543684,1,3,41,3,1.055488,0.367373
590.325293,631.873137,41.547844,1,3,63,2,1.040558,0.367759
632.337373,667.899671,35.562298,1,1,52,1,1.07246,0.399861
668.362984,691.793981,23.430997,1,1,33,2,1.551759,0.352416
694.370951,765.926311,71.55536,1,3,104,3,1.552468,0.415293
768.423364,833.897828,65.474464,1,3,99,2,1.05702,0.367813
834.122144,834.697986,0.575842,1,3,7,5,0.208632,0.031538
838.459476,927.972252,89.512776,1,3,135,1,1.072211,0.384256
930.500724,1046.06794,115.567216,1,3,173,3,1.056618,0.367762
1048.565187,1111.462778,62.897591,1,3,95,3,1.056327,0.415448
1111.590858,1112.74311,1.152252,1,4,16,9,0.224504,0.03202
1114.598803,1174.087737,59.488934,1,3,88,3,1.552258,0.352784
1176.632863,1258.1434,81.510537,1,3,122,1,1.05626,0.367405
1258.67126,1322.224855,63.553595,1,1,94,1,1.056603,0.432357
1324.721143,1389.619426,64.898283,1,3,96,5,1.408922,0.431677
1389.764039,1390.995819,1.23178,1,5,15,4,0.207625,0.031272
1392.756392,1410.266055,17.509663,1,3,27,2,1.056249,0.367755
1412.762553,1438.289225,25.526672,1,3,39,3,1.072809,0.335689
1438.769524,1474.267796,35.498272,1,1,52,1,1.088823,0.383853
1476.79582,1497.2496,20.45378,1,3,31,0,1.071674,0.400406
1500.802479,1620.387721,119.585242,1,3,180,0,1.055634,0.400167
1620.867625,1660.431167,39.563542,1,1,56,3,1.536758,0.401376
1660.895005,1667.264652,6.369647,1,1,8,1,1.040964,0.447612
1667.408751,1668.705372,1.296621,1,4,16,7,0.191644,0.032544
1672.898272,1742.453901,69.555629,1,3,105,1,1.072562,0.383832
1744.934377,1862.45503,117.520653,1,3,176,2,1.42405,0.368348
1865.000051,1946.509805,81.509754,1,3,123,2,1.056854,0.400156
1946.654194,1947.10291,0.448716,1,4,5,1,0.240269,0.04802
1951.055917,2072.625665,121.569748,1,3,179,6,1.536709,0.400488
2075.121648,2224.138622,149.016974,1,3,223,2,1.472856,0.383648
2224.779129,2225.243116,0.463987,1,4,7,3,0.224128,0.015005
2341.259236,2456.827379,115.568143,1,2,174,2,1.040266,0.41612
