Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,89.380759,89.380759,1,3,135,2,1.108161,0.415778
91.984522,181.394093,89.409571,1,3,135,2,1.108097,0.416168
183.970379,226.828293,42.857914,1,3,65,2,1.049618,0.461279
227.055068,227.84777,0.792702,1,1,15,4,0.118519,0.032647
229.962702,321.345637,91.382935,1,3,138,0,1.109532,0.414528
323.947093,413.327928,89.380835,1,3,135,3,1.108769,0.415242
415.931115,454.785515,38.8544,1,3,59,2,1.058401,0.448944
455.053849,455.991073,0.937224,1,4,15,9,0.167526,0.032565
457.925024,547.305352,89.380328,1,3,135,3,1.107665,0.416833
549.908939,641.292306,91.383367,1,3,138,2,1.109347,0.412082
643.894197,682.284106,38.389909,1,3,58,3,1.045375,0.467432
682.525047,683.838741,1.313694,1,4,16,4,0.210275,0.032895
685.886281,777.269569,91.383288,1,3,138,2,1.110223,0.415583
779.870737,869.25198,89.381243,1,3,135,2,1.108897,0.416265
871.856607,910.246683,38.390076,1,3,58,3,1.045425,0.46584
910.490274,911.794983,1.304709,1,4,16,4,0.292825,0.032596
913.849963,1003.230098,89.380135,1,3,135,3,1.107889,0.415964
1005.834838,1095.215531,89.380693,1,3,135,3,1.106793,0.417917
1097.820374,1137.16525,39.344876,1,3,60,2,1.045621,0.464643
1137.456608,1137.881645,0.425037,1,4,6,3,0.208567,0.031754
1141.81355,1233.194989,91.381439,1,3,138,3,1.110804,0.413829
1235.797475,1315.170288,79.372813,1,3,118,4,2.006604,0.425443
1317.783862,1365.133755,47.349893,1,3,72,2,1.056052,0.456193
1365.4638,1365.884477,0.420677,1,4,6,5,0.265397,0.025248
1369.775769,1459.156342,89.380573,1,3,135,1,1.108136,0.415575
1461.76028,1553.142095,91.381815,1,3,138,0,1.108775,0.416695
1555.745252,1592.598553,36.853301,1,3,56,1,1.042723,0.467013
1592.87044,1593.84353,0.97309,1,4,15,8,0.138538,0.031499
1595.738635,1685.174416,89.435781,1,3,133,4,1.999703,0.45697
1687.723289,1779.106659,91.38337,1,3,138,1,1.10934,0.414874
1781.708717,1820.562673,38.853956,1,3,59,1,1.046917,0.463499
1820.823896,1821.672945,0.849049,1,4,12,3,0.175783,0.033675
1825.701129,1915.082709,89.38158,1,3,135,1,1.107645,0.416836
1917.6844,2009.06829,91.38389,1,3,138,3,1.108201,0.41621
2011.669979,2049.015312,37.345333,1,3,57,3,1.042746,0.46721
2049.409949,2049.801143,0.391194,1,4,5,1,0.179481,0.048656
2053.664068,2145.046549,91.382481,1,3,138,1,1.109015,0.415551
2147.648657,2239.031756,91.383099,1,3,138,3,1.107852,0.415191
2241.633486,2276.976264,35.342778,1,3,54,0,1.040728,0.468617
2277.237053,2277.237053,0.0,1,1,1,0,0.0,0.0
2277.355156,2277.655713,0.300557,1,4,6,4,0.093274,0.023131
2281.670468,2375.004511,93.334043,1,3,141,0,1.112829,0.413965
2377.610726,2468.992282,91.381556,1,3,138,0,1.110965,0.414034
2471.595687,2504.444238,32.848551,1,3,50,1,1.04022,0.469603
2504.698456,2505.529291,0.830835,1,5,13,9,0.203983,0.032285
2509.589325,2600.970071,91.380746,1,3,138,3,1.109982,0.416787
2603.574208,2692.955281,89.381073,1,3,135,2,1.109282,0.417195
2695.559796,2732.410922,36.851126,1,3,56,2,1.044078,0.464817
2732.69411,2733.626206,0.932096,1,4,14,4,0.202037,0.033187
2735.551857,2826.935264,91.383407,1,3,138,1,1.109537,0.414519
2829.536582,2920.918453,91.381871,1,3,138,3,1.110046,0.415732
2923.521486,2960.865775,37.344289,1,3,57,2,1.042579,0.467639
2961.129461,2961.498952,0.369491,1,4,6,4,0.104838,0.05043
2965.515453,3056.899312,91.383859,1,3,138,3,1.107561,0.416816
3059.499562,3150.939932,91.44037,1,3,136,2,1.985688,0.417622
3153.484063,3188.335439,34.851376,1,3,53,3,1.038943,0.461411
3188.591711,3189.519698,0.927987,1,4,15,10,0.212386,0.032547
3191.478747,3282.861626,91.382879,1,3,138,2,1.110131,0.41518
3285.463533,3374.84514,89.381607,1,3,135,3,1.107284,0.416373
3377.448623,3416.303327,38.854704,1,3,59,1,1.048566,0.462307
3416.571421,3417.477116,0.905695,1,4,14,3,0.204699,0.031687
3421.440442,3512.823017,91.382575,1,3,138,3,1.109434,0.415971
3515.425661,3606.807991,91.38233,1,3,138,2,1.109182,0.415251
3609.409941,3644.259379,34.849438,1,3,53,1,1.041508,0.46653
3644.642117,3645.362913,0.720796,1,3,10,5,0.145866,0.039091
3649.405255,3738.785227,89.379972,1,3,134,2,1.11429,0.437693
3741.388292,3830.769442,89.38115,1,3,135,2,1.107608,0.416965
3833.373753,3872.718537,39.344784,1,3,60,3,1.046149,0.464274
3873.057553,3873.401917,0.344364,1,3,5,3,0.13146,0.034127
3877.366279,3966.74587,89.379591,1,3,135,1,1.108444,0.416578
3969.352109,4058.733757,89.381648,1,3,135,1,1.106919,0.417785
4061.335276,4100.189238,38.853962,1,3,59,1,1.046365,0.463117
4100.460488,4101.50697,1.046482,1,4,14,5,0.188618,0.024223
4105.328266,4196.710415,91.382149,1,3,138,0,1.110738,0.415331
4199.313156,4288.693715,89.380559,1,3,135,1,1.108788,0.414791
4291.299242,4329.688204,38.388962,1,3,58,0,1.044745,0.464861
4330.001979,4331.318787,1.316808,1,1,15,4,0.189274,0.032499
4333.290367,4422.672894,89.382527,1,3,135,0,1.108112,0.415662
4425.275984,4518.720596,93.444612,1,3,139,3,1.974903,0.397968
4521.261982,4558.114414,36.852432,1,3,56,0,1.043694,0.46588
4558.394339,4559.362633,0.968294,1,4,15,9,0.122018,0.032313
4561.255818,4650.635866,89.380048,1,3,135,3,1.107742,0.417541
4653.239083,4742.621914,89.382831,1,3,135,3,1.108393,0.416862
4745.224898,4785.618842,40.393944,1,3,61,2,1.047848,0.463785
4785.85524,4787.160957,1.305717,1,4,16,4,0.334187,0.033984
4789.218616,4878.600656,89.38204,1,3,135,1,1.10834,0.416929
4881.203328,4970.585263,89.381935,1,3,135,3,1.106439,0.418355
4973.187852,5013.581882,40.39403,1,3,61,1,1.049138,0.463505
5013.79965,5015.105996,1.306346,1,4,16,6,0.240545,0.033575
5017.181367,5108.563607,91.38224,1,3,138,1,1.11064,0.414652
5111.165615,5200.548361,89.382746,1,3,135,3,1.106965,0.417317
5203.151849,5240.49567,37.343821,1,3,57,2,1.04347,0.466664
5240.783334,5241.325818,0.542484,1,4,10,2,0.136715,0.033259
5315.132832,5432.534207,117.401375,1,3,175,3,1.983561,0.422268
5435.112898,5467.089801,31.976903,1,3,59,3,1.035251,0.033218
5469.106951,5570.49772,101.390769,1,3,151,3,2.003511,0.444963
5573.09111,5662.471116,89.380006,1,3,135,1,1.10812,0.416615
5665.075828,5694.414907,29.339079,1,3,45,3,1.031909,0.474026
5694.685791,5695.183796,0.498005,1,4,6,5,0.141524,0.034737
5699.069917,5788.45172,89.381803,1,3,135,3,1.108207,0.415778
5791.053896,5880.434918,89.381022,1,3,135,1,1.108046,0.416793
5883.039326,5921.893438,38.854112,1,3,59,1,1.045488,0.46465
5922.179962,5923.178273,0.998311,1,5,13,6,0.192766,0.032654
5925.033552,6014.415456,89.381904,1,3,135,1,1.10875,0.416588
6017.018793,6106.399621,89.380828,1,3,135,1,1.106529,0.418409
6109.001662,6149.858467,40.856805,1,3,62,3,1.049073,0.462291
6150.141003,6151.074217,0.933214,1,4,14,9,0.134709,0.033319
6152.99524,6244.377004,91.381764,1,3,138,1,1.110417,0.41563
6246.978769,6336.360048,89.381279,1,3,135,0,1.107946,0.416866
6338.964287,6377.817725,38.853438,1,3,59,3,1.044337,0.464116
6378.068759,6379.128754,1.059995,1,4,15,6,0.254652,0.033431
6380.956974,6460.330496,79.373522,1,3,120,3,1.096242,0.38534
6462.943129,6552.324486,89.381357,1,3,135,1,1.108499,0.417101
6554.927789,6605.793964,50.866175,1,3,75,4,1.99368,0.420743
6606.044381,6606.951274,0.906893,1,4,13,3,0.129051,0.033637
6610.918605,6700.29871,89.380105,1,3,135,1,1.10845,0.417349
6702.902511,6792.28241,89.379899,1,3,135,2,1.10842,0.416001
6794.887811,6834.233874,39.346063,1,3,60,0,1.044973,0.464081
6834.573303,6835.013091,0.439788,1,4,6,3,0.164953,0.034775
6838.880594,6928.26152,89.380926,1,3,135,2,1.107616,0.417497
6930.865605,7022.318594,91.452989,1,3,136,3,1.98053,0.478263
7024.849531,7062.192702,37.343171,1,3,57,3,1.043598,0.465401
7062.453416,7062.453416,0.0,1,1,1,0,0.0,0.0
7062.536391,7062.976212,0.439821,1,2,9,6,0.116842,0.033167
7066.841713,7156.223856,89.382143,1,3,135,1,1.164344,0.413742
7158.826188,7250.209806,91.383618,1,3,138,3,1.108713,0.416723
7252.810248,7289.662761,36.852513,1,3,56,0,1.042831,0.46643
7289.925709,7290.863754,0.938045,1,4,15,5,0.211769,0.031883
7294.803187,7384.185331,89.382144,1,3,135,3,1.108402,0.416614
7386.788429,7478.171836,91.383407,1,3,138,3,1.10893,0.416183
7480.772802,7519.162128,38.389326,1,3,58,1,1.045079,0.466349
7519.471703,7520.769277,1.297574,1,2,15,5,0.342256,0.033005
7522.766067,7612.14658,89.380513,1,3,135,2,1.107422,0.416113
7614.750379,7704.131212,89.380833,1,3,135,0,1.107426,0.418111
7706.733897,7747.589585,40.855688,1,3,62,2,1.047985,0.46233
7747.862461,7748.815733,0.953272,1,4,13,4,0.165456,0.032173
7752.727235,7828.098056,75.370821,1,3,112,4,1.997506,0.439214
7830.712902,7920.092688,89.379786,1,3,135,3,1.108364,0.413997
7922.697824,7975.567554,52.86973,1,3,80,3,1.061345,0.453595
7975.901685,7976.743186,0.841501,1,3,13,5,0.140316,0.033374
7980.687608,8070.067619,89.380011,1,3,135,0,1.10792,0.418089
8072.672202,8162.053978,89.381776,1,3,135,1,1.106591,0.417711
8164.657242,8204.00249,39.345248,1,3,60,1,1.044814,0.464162
8204.295509,8204.720822,0.425313,1,4,6,2,0.13293,0.033725
8210.650403,8302.03185,91.381447,1,3,138,0,1.109818,0.416597
8304.634837,8394.015409,89.380572,1,3,135,2,1.108624,0.41761
8396.617789,8431.960427,35.342638,1,3,54,1,1.082627,0.424014
8432.220796,8432.220796,0.0,1,1,1,0,0.0,0.0
8432.348216,8432.63192,0.283704,1,2,4,1,0.18055,0.049151
8438.611259,8529.993669,91.38241,1,3,138,3,1.108377,0.416209
8532.596482,8623.980813,91.384331,1,3,138,3,1.109379,0.415315
8626.581034,8659.922947,33.341913,1,3,51,1,1.036772,0.470048
8660.217712,8660.595223,0.377511,1,5,3,2,0.244404,0.133107
8664.57454,8755.95683,91.38229,1,3,138,1,1.109857,0.415519
8758.559049,8847.939925,89.380876,1,3,135,0,1.108117,0.418051
8850.544037,8887.396837,36.8528,1,3,56,3,1.043985,0.4648
8887.664257,8892.517302,4.853045,1,4,21,10,1.003804,0.022178
8894.536314,8983.91629,89.379976,1,3,135,1,1.107892,0.416676
8986.521894,9075.901067,89.379173,1,3,135,2,1.107193,0.418163
9078.506349,9115.357765,36.851416,1,3,56,1,1.042619,0.46716
9115.673279,9116.587137,0.913858,1,4,12,7,0.18059,0.03261
9118.499331,9207.880132,89.380801,1,3,135,2,1.108047,0.417822
9210.484,9301.866299,91.382299,1,3,138,3,1.108579,0.416667
9304.467748,9343.321829,38.854081,1,3,59,0,1.045944,0.462842
9343.595115,9344.568713,0.973598,1,4,15,5,0.182454,0.030909
9346.462333,9437.843606,91.381273,1,3,138,3,1.110158,0.414363
9440.446412,9529.827202,89.38079,1,3,135,1,1.108118,0.415918
9532.429381,9571.284998,38.855617,1,3,59,1,1.046109,0.465034
9571.544362,9572.380637,0.836275,1,3,14,5,0.119774,0.032935
9576.423446,9667.805517,91.382071,1,3,138,1,1.110742,0.415249
9670.407985,9759.788367,89.380382,1,3,135,3,1.109492,0.416073
9762.392887,9799.736321,37.343434,1,3,57,3,1.044558,0.466321
9800.101249,9800.455183,0.353934,1,2,5,1,0.19443,0.038304
9804.384963,9893.765395,89.380432,1,3,135,3,1.107696,0.417625
9896.369785,9987.751616,91.381831,1,3,138,3,1.110102,0.415838
9990.353645,10027.69814,37.344495,1,3,57,1,1.042882,0.466699
10027.983267,10028.409338,0.426071,1,5,5,2,0.250531,0.047171
10032.348393,10121.728952,89.380559,1,3,135,1,1.108613,0.416454
10124.331913,10215.714608,91.382695,1,3,138,3,1.109764,0.415789
10218.316603,10256.707575,38.390972,1,3,58,3,1.046253,0.465106
10257.023687,10258.329393,1.305706,1,4,16,8,0.376127,0.023891
10260.309761,10349.691191,89.38143,1,3,135,1,1.1079,0.416601
10352.295791,10441.677631,89.38184,1,3,135,0,1.105946,0.416312
10444.278503,10484.673926,40.395423,1,3,61,3,1.048446,0.463191
10484.914624,10486.222895,1.308271,1,4,15,6,0.316573,0.033469
10488.272886,10577.653096,89.38021,1,3,135,3,1.119552,0.402713
10580.257171,10671.640814,91.383643,1,3,138,2,1.108425,0.415414
10674.241622,10711.586647,37.345025,1,3,57,2,1.044848,0.465444
10711.858355,10712.395504,0.537149,1,4,10,7,0.171758,0.032643
10716.234047,10805.614711,89.380664,1,3,135,0,1.108453,0.416489
10808.219493,10897.600216,89.380723,1,3,135,3,1.107747,0.417264
10900.203657,10939.54936,39.345703,1,3,60,3,1.044731,0.46548
10939.88096,10940.287184,0.406224,1,4,5,5,0.152143,0.033959
11090.170943,11166.198905,76.027962,1,3,123,2,1.090056,0.033376
11170.158467,11261.540056,91.381589,1,3,138,1,1.107721,0.417979
11264.143095,11353.52296,89.379865,1,3,135,0,1.108761,0.416918
11356.125891,11392.979337,36.853446,1,3,56,3,1.043204,0.467451
11393.257901,11394.240718,0.982817,1,4,15,4,0.168311,0.031633
11398.119453,11487.49999,89.380537,1,3,135,1,1.107638,0.417117
11490.103922,11579.483915,89.379993,1,3,135,1,1.107867,0.416905
11582.088171,11619.430461,37.34229,1,3,57,3,1.042715,0.468101
11619.74278,11620.224927,0.482147,1,4,7,6,0.120281,0.034991
11624.081794,11713.463106,89.381312,1,3,135,0,1.107474,0.4157
11716.066733,11825.460932,109.394199,1,3,163,4,1.980551,0.429283
11828.048143,11847.379686,19.331543,1,3,30,2,1.02038,0.482256
11847.672697,11847.941937,0.26924,1,5,4,3,0.097283,0.076745
11852.043667,11941.423595,89.379928,1,3,135,1,1.107722,0.417708
11944.027901,12033.408198,89.380297,1,3,135,1,1.10806,0.416679
12036.012223,12075.358339,39.346116,1,3,60,3,1.045511,0.464122
12075.639568,12076.051788,0.41222,1,5,5,3,0.14544,0.067219
12080.005959,12169.386289,89.38033,1,3,135,1,1.106996,0.417941
12171.989614,12263.372491,91.382877,1,3,138,3,1.10845,0.416459
12265.974337,12303.318303,37.343966,1,3,57,3,1.044625,0.465702
12303.577534,12304.092017,0.514483,1,5,5,4,0.279365,0.032706
12307.966921,12397.346858,89.379937,1,3,135,1,1.108496,0.416046
