2025-09-09 23:16:41.887942, 1, BB:0:1:0
2025-09-09 23:16:41.931333, 2, 02:1923:0:1
2025-09-09 23:16:41.985925, 3, 03:1531:0:1
2025-09-09 23:16:42.705120, 4, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:43.206702, 5, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:44.707269, 6, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:45.206902, 7, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:46.708116, 8, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:47.207969, 9, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:48.709862, 10, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:49.209743, 11, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:50.712907, 12, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:51.211068, 13, 03:1251:0:0:Node 03: Network 1
2025-09-09 23:16:52.713897, 14, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:53.213262, 15, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:54.716834, 16, 02:751:0:0:Node 02: Network 1
2025-09-09 23:16:55.214186, 17, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:56.719462, 18, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:57.215451, 19, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:16:58.721044, 20, 02:750:0:0:Node 02: Network 1
2025-09-09 23:16:59.216444, 21, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:17:00.722448, 22, 02:750:0:0:Node 02: Network 1
2025-09-09 23:17:01.218208, 23, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:17:02.724942, 24, 02:750:0:0:Node 02: Network 1
2025-09-09 23:17:03.219607, 25, 03:1250:0:0:Node 03: Network 1
2025-09-09 23:17:05.021400, 26, 
